Job_ID,theta1,theta2
Test_250.inp,-47,64
Test_251.inp,-69,0
Test_252.inp,-82,-45
Test_253.inp,56,-34
Test_254.inp,-75,-17
Test_255.inp,32,-60
Test_256.inp,-25,-11
Test_257.inp,65,80
Test_258.inp,54,-18
Test_259.inp,-6,38
Test_260.inp,-50,68
Test_261.inp,-14,-28
Test_262.inp,-57,76
Test_263.inp,-24,2
Test_264.inp,87,-65
Test_265.inp,-25,-84
Test_266.inp,-26,-39
Test_267.inp,-33,-46
Test_268.inp,-59,29
Test_269.inp,-60,60
Test_270.inp,10,76
Test_271.inp,-30,50
Test_272.inp,72,69
Test_273.inp,81,62
Test_274.inp,30,-25
Test_275.inp,80,-20
Test_276.inp,-88,70
Test_277.inp,57,88
Test_278.inp,18,78
Test_279.inp,-88,-89
Test_280.inp,-31,-12
Test_281.inp,-72,-17
Test_282.inp,25,-74
Test_283.inp,34,-21
Test_284.inp,16,16
Test_285.inp,-21,55
Test_286.inp,40,-87
Test_287.inp,-77,22
Test_288.inp,37,70
Test_289.inp,-9,44
Test_290.inp,20,-82
Test_291.inp,26,5
Test_292.inp,71,-88
Test_293.inp,-28,11
Test_294.inp,-71,-57
Test_295.inp,-84,-9
Test_296.inp,-48,82
Test_297.inp,-13,-4
Test_298.inp,-19,-23
Test_299.inp,5,-32
Test_300.inp,51,46
