case,raw_folder,test_id,theta1,theta2,pt,type,curve_csv
Case2,2,015,35.0,60.0,15944.291849701582,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_015.csv
Case2,2,016,75.0,-61.0,9605.86968700014,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_016.csv
Case2,2,017,-30.0,66.0,17554.893196468318,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_017.csv
Case2,2,018,-53.0,31.0,16200.86354226923,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_018.csv
Case2,2,019,-79.0,29.0,18047.277970699313,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_019.csv
Case2,2,020,-2.0,48.0,22366.67657833105,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_020.csv
Case2,2,021,-49.0,-67.0,13241.473727550778,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_021.csv
Case2,2,022,43.0,-33.0,15881.001246662378,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_022.csv
Case2,2,023,62.0,-67.0,10922.264530441522,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_023.csv
Case2,2,024,30.0,75.0,17917.135662089717,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_024.csv
Case2,2,025,80.0,-80.0,5972.071636344868,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_025.csv
Case2,2,026,-81.0,73.0,6739.4461962730475,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_026.csv
Case2,2,027,54.0,-38.0,15371.954601045092,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_027.csv
Case2,2,028,36.0,-31.0,16320.794939680867,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_028.csv
Case2,2,029,52.0,-41.0,15273.761643841104,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_029.csv
Case2,2,030,15.0,-12.0,18261.513326122706,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_030.csv
Case2,2,031,-55.0,-62.0,12519.355773543584,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_031.csv
Case2,2,032,-19.0,-7.0,18252.393554508428,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_032.csv
Case2,2,033,-61.0,86.0,8663.530557652,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_033.csv
Case2,2,034,-43.0,-15.0,20160.04950343554,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_034.csv
Case2,2,035,70.0,81.0,7250.725122793007,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_035.csv
Case2,2,036,8.0,25.0,19258.694031637977,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_036.csv
Case2,2,037,-85.0,67.0,7423.061614736801,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_037.csv
Case2,2,038,-56.0,52.0,13779.68239296741,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_038.csv
Case2,2,039,64.0,42.0,15101.636430104876,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_039.csv
Case2,2,040,-27.0,-54.0,17635.6244604274,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_040.csv
Case2,2,041,-2.0,-68.0,22256.993284960623,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_041.csv
Case2,2,042,84.0,51.0,10880.446089157313,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_042.csv
Case2,2,043,79.0,-71.0,7260.875534046547,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_043.csv
Case2,2,044,59.0,-56.0,13010.057232788411,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_044.csv
Case2,2,045,-18.0,-35.0,19920.166232535616,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_045.csv
Case2,2,046,-76.0,-77.0,6781.751740967857,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_046.csv
Case2,2,047,42.0,27.0,17036.221717934684,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_047.csv
Case2,2,048,1.0,71.0,22383.690349189837,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_048.csv
Case2,2,049,-37.0,22.0,18357.4640474759,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_049.csv
Case2,2,050,-16.0,44.0,20756.070138869356,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_050.csv
Case2,2,051,28.0,57.0,17712.049589651342,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_051.csv
Case2,2,052,-79.0,34.0,16870.336402522025,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_052.csv
Case2,2,053,3.0,87.0,22248.78642704942,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_053.csv
Case2,2,054,-17.0,-44.0,19730.01039931261,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_054.csv
Case2,2,055,44.0,-49.0,15976.463339044598,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_055.csv
Case2,2,056,67.0,-19.0,19769.131113534422,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_056.csv
Case2,2,057,2.0,74.0,22340.2490678272,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_057.csv
Case2,2,058,82.0,19.0,20342.67136165196,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_058.csv
Case2,2,059,14.0,3.0,17257.710775301333,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_059.csv
Case2,2,060,44.0,-84.0,12937.180943069954,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_060.csv
Case2,2,061,0.0,-52.0,22306.408156250967,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_061.csv
Case2,2,062,33.0,26.0,17984.52330299771,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_062.csv
Case2,2,063,-75.0,38.0,16001.171126272333,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_063.csv
Case2,2,064,-20.0,55.0,19963.39258921645,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_064.csv
Case2,2,065,72.0,31.0,17401.565138733276,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_065.csv
Case2,2,066,75.0,72.0,7640.143350666693,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_066.csv
Case2,2,067,-83.0,68.0,7375.888626669171,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_067.csv
Case2,2,068,-26.0,-1.0,19456.305973491017,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_068.csv
Case2,2,069,-36.0,57.0,16012.499820929535,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_069.csv
Case2,2,070,-89.0,-51.0,10759.603122866465,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_070.csv
Case2,2,071,-45.0,-29.0,16177.961790320023,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_071.csv
Case2,2,072,-29.0,13.0,20710.241629599408,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_072.csv
Case2,2,073,-22.0,46.0,18878.0105001635,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_073.csv
Case2,2,074,-1.0,-8.0,17026.160511303562,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_074.csv
Case2,2,075,-22.0,82.0,20009.09898157673,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_075.csv
Case2,2,076,50.0,5.0,21885.93175823237,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_076.csv
Case2,2,077,-64.0,20.0,19538.7897396166,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_077.csv
Case2,2,078,29.0,-79.0,18246.36351476399,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_078.csv
Case2,2,079,-67.0,39.0,15713.299234921931,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_079.csv
Case2,2,080,-53.0,-64.0,13114.080150028736,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_080.csv
Case2,2,081,-38.0,-72.0,16048.612139956382,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_081.csv
Case2,2,082,85.0,48.0,11621.81100951362,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_082.csv
Case2,2,083,-12.0,85.0,21304.411023413217,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_083.csv
Case2,2,084,77.0,-48.0,12216.006785058336,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_084.csv
Case2,2,085,45.0,75.0,12644.76230239052,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_085.csv
Case2,2,086,-41.0,-54.0,15334.76214970965,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_086.csv
Case2,2,087,-38.0,89.0,16110.326157228694,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_087.csv
Case2,2,088,23.0,33.0,18667.182044892546,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_088.csv
Case2,2,089,18.0,-35.0,20004.824334374945,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_089.csv
Case2,2,090,-65.0,24.0,19166.219234683158,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_090.csv
Case2,2,091,11.0,36.0,21814.638817993655,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_091.csv
Case2,2,092,-38.0,-40.0,16069.93561325196,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_092.csv
Case2,2,093,-70.0,-78.0,7570.430723745265,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_093.csv
Case2,2,094,73.0,-55.0,11130.10844688354,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_094.csv
Case2,2,095,68.0,-30.0,17574.428229042365,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_095.csv
Case2,2,096,84.0,-52.0,10765.94834339393,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_096.csv
Case2,2,097,-46.0,-23.0,17815.678284165737,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_097.csv
Case2,2,098,-1.0,36.0,21657.29273727099,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_098.csv
Case2,2,099,90.0,40.0,12347.284819586124,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_099.csv
Case2,2,100,69.0,62.0,10335.948527733512,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_100.csv
Case2,2,101,48.0,15.0,20117.588072242153,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_101.csv
Case2,2,102,76.0,-24.0,19209.213496979915,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_102.csv
Case2,2,103,66.0,14.0,20725.43237640009,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_103.csv
Case2,2,104,83.0,3.0,21975.393590152078,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_104.csv
Case2,2,105,89.0,-77.0,5742.907653147176,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_105.csv
Case2,2,106,-12.0,43.0,21828.546895226827,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_106.csv
Case2,2,107,69.0,8.0,21621.816505972165,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_107.csv
Case2,2,108,46.0,-72.0,12968.26670199502,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_108.csv
Case2,2,109,-69.0,17.0,21042.62463381931,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_109.csv
Case2,2,110,-51.0,1.0,22174.53314878391,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_110.csv
Case2,2,111,7.0,87.0,21974.814743022594,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_111.csv
Case2,2,112,21.0,-8.0,18812.197482628868,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_112.csv
Case2,2,113,35.0,-2.0,21502.654428246453,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_113.csv
Case2,2,114,-35.0,-78.0,16641.048662185567,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_114.csv
Case2,2,115,22.0,74.0,19382.289896574675,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_115.csv
Case2,2,116,12.0,-85.0,21318.920308209603,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_116.csv
Case2,2,117,-87.0,33.0,16964.578443697086,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_117.csv
Case2,2,118,54.0,-88.0,10111.479383002628,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_118.csv
Case2,2,119,31.0,-10.0,21139.901650976884,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_119.csv
Case2,2,120,-58.0,-26.0,17659.519380381615,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_120.csv
Case2,2,121,-50.0,14.0,21062.79375991071,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_121.csv
Case2,2,122,20.0,-73.0,20426.1417112616,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_122.csv
Case2,2,123,76.0,4.0,21923.73339124474,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_123.csv
Case2,2,124,42.0,-66.0,15417.937098843093,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_124.csv
Case2,2,125,-3.0,72.0,22322.264683286012,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_125.csv
Case2,2,126,-8.0,18.0,17949.699023275294,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_126.csv
Case2,2,127,-66.0,77.0,8428.451427525222,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_127.csv
Case2,2,128,59.0,-70.0,10891.370894468742,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_128.csv
Case2,2,129,24.0,11.0,19785.482958492543,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_129.csv
Case2,2,130,-59.0,12.0,21120.917328111533,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_130.csv
Case2,2,131,41.0,53.0,15387.775916572398,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_131.csv
Case2,2,132,38.0,35.0,15773.538665372627,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_132.csv
Case2,2,133,-21.0,37.0,18855.466306479895,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_133.csv
Case2,2,134,-56.0,37.0,15585.449355990706,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_134.csv
Case2,2,135,39.0,-76.0,15966.862495721263,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_135.csv
Case2,2,136,8.0,-68.0,21869.668232739932,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_136.csv
Case2,2,137,68.0,53.0,12281.321152881383,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_137.csv
Case2,2,138,-28.0,-75.0,18208.514740433136,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_138.csv
Case2,2,139,-52.0,-36.0,15511.808244009047,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_139.csv
Case2,2,140,1.0,-3.0,16892.48376444766,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_140.csv
Case2,2,141,79.0,49.0,11723.05325713485,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_141.csv
Case2,2,142,56.0,10.0,21287.038098368255,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_142.csv
Case2,2,143,39.0,-35.0,15779.242510477306,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_143.csv
Case2,2,144,-86.0,-39.0,15505.565310891709,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_144.csv
Case2,2,145,29.0,32.0,17380.510566070083,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_145.csv
Case2,2,146,-41.0,-28.0,16406.185672703003,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_146.csv
Case2,2,147,47.0,23.0,17810.62882268262,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_147.csv
Case2,2,148,46.0,-62.0,15105.283301093265,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_148.csv
Case2,2,149,24.0,-59.0,18987.420898164553,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_149.csv
Case2,2,150,15.0,-47.0,20352.354050625985,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_150.csv
Case2,2,151,-66.0,-82.0,7852.607715837323,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_151.csv
Case2,2,152,-23.0,-66.0,18913.29779648672,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_152.csv
Case2,2,153,50.0,-62.0,14258.02576510243,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_153.csv
Case2,2,154,-65.0,-65.0,10642.305491634826,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_154.csv
Case2,2,155,11.0,-32.0,20998.13037174053,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_155.csv
Case2,2,156,70.0,-86.0,6916.165492716169,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_156.csv
Case2,2,157,78.0,-26.0,18245.925346530516,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_157.csv
Case2,2,158,17.0,-43.0,19805.97391087323,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_158.csv
Case2,2,159,-9.0,-4.0,16942.796513979963,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_159.csv
Case2,2,160,47.0,-13.0,20645.094612575558,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_160.csv
Case2,2,161,-43.0,-45.0,15059.704239150913,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_161.csv
Case2,2,162,-71.0,-11.0,21359.741658313826,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_162.csv
Case2,2,163,-84.0,28.0,18338.955396095836,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_163.csv
Case2,2,164,-16.0,-5.0,17864.734028392748,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_164.csv
Case2,2,165,-5.0,10.0,17074.09801002604,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_165.csv
Case2,2,166,-61.0,-3.0,22144.237823452062,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_166.csv
Case2,2,167,-4.0,-6.0,34578.323502431216,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_167.csv
Case2,2,168,-5.0,-1.0,16752.135414763357,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_168.csv
Case2,2,169,58.0,-70.0,11082.860934759608,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_169.csv
Case2,2,170,-35.0,-50.0,15724.71411011459,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_170.csv
Case2,2,171,-6.0,-18.0,17771.939868934987,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_171.csv
Case2,2,172,-68.0,5.0,22034.00690293698,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_172.csv
Case2,2,173,82.0,-55.0,10156.859176763548,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_173.csv
Case2,2,174,-76.0,51.0,11659.888567397536,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_174.csv
Case2,2,175,-73.0,85.0,6422.7368016769005,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_175.csv
Case2,2,176,-36.0,30.0,16474.161043303182,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_176.csv
Case2,2,177,25.0,-81.0,19280.614771827895,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_177.csv
Case2,2,178,27.0,63.0,18243.915034447313,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_178.csv
Case2,2,179,73.0,-44.0,15034.989451880107,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_179.csv
Case2,2,180,-14.0,88.0,20947.33439592328,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_180.csv
Case2,2,181,88.0,45.0,12554.388123116472,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_181.csv
Case2,2,182,-14.0,42.0,21339.96697323502,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_182.csv
Case2,2,183,37.0,63.0,16022.572187764572,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_183.csv
Case2,2,184,83.0,43.0,11967.243096667527,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_184.csv
Case2,2,185,-18.0,49.0,19636.75276331284,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_185.csv
Case2,2,186,-54.0,1.0,22178.47555914894,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_186.csv
Case2,2,187,-47.0,-37.0,15392.392221167545,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_187.csv
Case2,2,188,-40.0,56.0,15530.04730188103,1,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_188.csv
Case2,2,189,34.0,0.0,21648.185159222492,3,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_189.csv
Case2,2,190,-80.0,40.0,15621.070129048341,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_190.csv
Case2,2,191,-75.0,6.0,22399.994698017577,2,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_191.csv
