Test_ID,Global_Test_ID,Theta1,Theta2,Pt,type,original_type,model_predicted_type,model_confidence,p_type1,p_type2,p_type3,confidence,data_quality,review_note
Test_022,Test_222,28,-80,12774.0770024773,2,2,2,0.999999,0.000001,0.999999,0.000000,high,ok,accepted_original_label
Test_023,Test_223,31,71,13310.488571105,2,2,2,0.999987,0.000010,0.999987,0.000003,high,ok,accepted_original_label
Test_024,Test_224,33,44,13663.7660694357,2,2,2,0.999098,0.000821,0.999098,0.000081,high,ok,accepted_original_label
Test_025,Test_225,20,-27,9875.4607791255,2,2,2,0.999999,0.000001,0.999999,0.000001,high,ok,accepted_original_label
Test_026,Test_226,-15,46,11216.4972515656,2,2,2,0.999992,0.000007,0.999992,0.000002,high,ok,accepted_original_label
Test_027,Test_227,-72,0,10652.8484658869,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_028,Test_228,42,-83,13274.6156007379,1,1,1,0.999995,0.999995,0.000004,0.000001,high,ok,accepted_original_label
Test_029,Test_229,-83,61,8541.76355414934,1,1,1,0.999986,0.999986,0.000012,0.000002,high,ok,accepted_original_label
Test_030,Test_230,45,-74,13597.9189175266,1,1,1,0.999992,0.999992,0.000006,0.000001,high,ok,accepted_original_label
Test_031,Test_231,-27,38,12178.2674620367,2,2,2,0.999990,0.000008,0.999990,0.000002,high,ok,accepted_original_label
Test_032,Test_232,-56,26,12806.6452724032,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_033,Test_233,52,-84,10522.9193016957,1,1,1,0.999996,0.999996,0.000004,0.000001,high,ok,accepted_original_label
Test_034,Test_234,23,-68,12536.9771694044,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_035,Test_235,-63,2,10900.9634557258,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_036,Test_236,80,72,6800.73429496865,1,1,1,0.999999,0.999999,0.000000,0.000000,high,ok,accepted_original_label
Test_037,Test_237,11,46,10762.412190422,2,2,2,0.999987,0.000011,0.999987,0.000002,high,ok,accepted_original_label
Test_038,Test_238,75,55,10805.7569974275,1,1,1,0.999999,0.999999,0.000000,0.000000,high,ok,accepted_original_label
Test_039,Test_239,-31,-79,13044.4563544934,2,2,2,0.999998,0.000001,0.999998,0.000000,high,ok,accepted_original_label
Test_040,Test_240,2,-73,10949.0331234622,2,2,2,0.999998,0.000001,0.999998,0.000000,high,ok,accepted_original_label
Test_041,Test_241,40,-77,13778.7771000721,2,1,2,0.999956,0.000042,0.999956,0.000002,model_high,ok,reclassified_by_current_csv_model
Test_042,Test_242,16,-10,6878.5399567018,3,3,3,0.999977,0.000002,0.000021,0.999977,high,ok,accepted_original_label
Test_043,Test_243,-47,65,15075.0536671224,1,1,1,0.999880,0.999880,0.000092,0.000028,high,ok,accepted_original_label
Test_044,Test_244,21,-26,9959.22529526549,2,2,2,0.999998,0.000001,0.999998,0.000001,high,ok,accepted_original_label
Test_045,Test_245,38,-71,13935.6722284767,2,2,2,0.999999,0.000001,0.999999,0.000001,high,ok,accepted_original_label
Test_046,Test_246,-41,87,13195.2628197854,1,1,1,0.999678,0.999678,0.000277,0.000045,high,ok,accepted_original_label
Test_047,Test_247,-81,-10,10702.5136560162,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_048,Test_248,-77,51,11548.8947676503,1,1,1,0.999992,0.999992,0.000006,0.000001,high,ok,accepted_original_label
Test_049,Test_249,-58,-27,12865.6365293124,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_050,Test_250,-51,-40,14825.6091730173,1,1,1,0.999884,0.999884,0.000089,0.000027,high,ok,accepted_original_label
