Test_ID,Theta1,Theta2,Pt,type,original_type,confidence,data_quality
Test_084,-58,-24,12524.5140599,2,2,high,ok
Test_085,-27,19,9417.82771356,2,3,high,ok
Test_086,-44,-26,12245.5779794,2,2,high,ok
Test_087,87,-65,7509.66837585,1,1,high,ok
Test_088,-9,-87,10756.0260455,2,2,high,ok
Test_089,2,55,10907.1079715,2,2,high,ok
Test_090,40,61,14577.3643965,1,1,high,ok
Test_091,50,-64,14112.5001079,1,1,high,ok
Test_092,-7,20,7424.51463188,3,3,high,ok
Test_093,85,-17,11270.3860123,2,2,high,ok
Test_094,18,-59,12147.5052494,2,2,high,ok
Test_095,-26,-51,12850.2082779,2,2,high,ok
Test_096,-86,26,12135.3099879,2,2,high,ok
Test_097,71,68,8847.4586782,1,1,high,ok
Test_098,-1,-33,8960.34622804,3,3,high,ok
Test_099,64,-58,12185.3424231,1,1,high,ok
Test_100,-77,-19,11634.7323779,2,2,high,ok
Test_101,-37,81,13440.2598303,2,2,high,ok
Test_102,-38,46,14808.4641699,2,2,high,ok
Test_103,-40,-10,9984.05626145,2,2,high,ok
Test_104,-31,10,8924.95154098,2,2,high,ok
Test_105,-65,-72,9300.11790439,1,1,high,ok
Test_106,-10,-49,10970.0289598,2,2,high,ok
Test_107,-53,-14,11260.548918,2,2,high,ok
Test_108,-12,31,9314.47240294,2,2,high,ok
Test_109,44,-41,15345.4613297,1,1,high,ok
Test_110,-74,-31,12992.5198404,2,2,high,ok
Test_111,31,-77,13134.687782,2,2,high,ok
Test_112,25,2,7655.85315934,3,3,high,ok
Test_113,57,13,11299.4011787,2,2,high,ok
Test_114,42,-63,14718.0313279,2,2,high,ok
Test_115,60,35,13845.6240585,2,2,high,ok
Test_116,29,-81,12819.2785204,2,2,high,ok
Test_117,54,80,10416.4315687,1,1,high,ok
Test_118,83,16,11130.6301996,2,2,high,ok
Test_119,3,27,8229.63513899,3,3,high,ok
Test_120,10,76,11096.7855791,2,2,high,ok
Test_121,-6,-20,7287.16586669,3,3,high,ok
Test_122,-76,-7,10743.7314964,2,2,high,ok
Test_123,-24,0,7458.52931859,3,3,high,ok
Test_124,86,43,12728.390697,1,1,high,ok
Test_125,15,-39,10577.8761174,2,2,high,ok
Test_126,-78,64,8487.83576137,1,1,high,ok
Test_127,-22,-34,10927.5262813,2,2,high,ok
Test_128,67,-77,8128.11918789,1,1,high,ok
Test_129,53,17,11654.9316356,2,2,high,ok
Test_130,5,84,10570.5302321,2,2,high,ok
Test_131,-89,71,6381.47112682,1,1,high,ok
Test_132,51,58,13688.2716321,1,1,high,ok
Test_133,-72,-54,11493.7807035,1,1,high,ok
Test_134,-18,71,11920.1463932,2,2,high,ok
Test_135,75,-31,12934.6143852,2,2,high,ok
Test_136,-50,-9,10701.5029581,2,2,high,ok
Test_137,-19,70,12129.0031345,2,2,high,ok
Test_138,37,34,13360.2164885,2,2,high,ok
Test_139,48,-47,14922.3870876,1,1,high,ok
Test_140,-3,-6,5514.66786628,3,3,medium,short_curve_but_usable
Test_141,72,-18,11692.7014026,2,2,high,ok
Test_142,20,-1,7022.17463591,3,3,high,ok
Test_143,8,9,5996.67837275,3,3,high,ok
Test_144,27,-85,12621.1145329,2,2,high,ok
Test_145,-30,67,13318.4264905,2,2,high,ok
Test_146,-11,38,10044.7030767,2,2,high,ok
Test_147,-69,-49,13080.5694308,1,1,high,ok
Test_148,41,-14,10416.2570063,2,2,high,ok
Test_149,22,-68,12469.6002001,2,2,high,ok
Test_150,5,-35,9223.40466597,2,2,high,ok
Test_151,-53,6,10764.3054006,2,2,high,ok
Test_152,-52,62,13831.0420452,2,2,needs_review,insufficient_post_transition_tail
Test_153,-82,-88,5030.89170978,1,1,high,ok
Test_154,24,53,12645.6997874,2,2,high,ok
Test_155,19,48,11753.8752382,2,2,high,ok
Test_156,74,-74,7350.55346826,1,1,high,ok
Test_157,-59,-37,14086.4616185,2,2,high,ok
Test_158,76,3,10600.9154278,2,2,high,ok
Test_159,-58,75,10217.6885379,1,1,high,ok
Test_160,27,5,8097.91141296,3,3,high,ok
Test_161,47,-42,15470.7745649,1,1,high,ok
Test_162,-4,55,10940.3748355,2,3,high,ok
Test_163,-78,84,5655.14745652,1,1,high,ok
Test_164,-8,62,11264.3351755,2,2,high,ok
Test_165,6,-37,9591.09529786,2,2,high,ok
Test_166,-22,23,9513.90070856,2,3,high,ok
Test_167,-71,-50,12548.3516226,1,1,high,ok
Test_168,-16,-87,11321.4364875,2,2,high,ok
Test_169,-46,-76,13088.8307702,1,1,high,ok
Test_170,1,-16,6623.36827501,3,3,high,ok
Test_171,80,66,7841.75266685,1,1,high,ok
Test_172,7,42,10179.1678289,2,2,high,ok
Test_173,68,90,6965.14153175,1,1,high,ok
Test_174,-69,28,12873.7624564,2,2,high,ok
Test_175,66,18,11826.6629083,2,2,high,ok
Test_176,-56,-10,11056.9717629,2,2,high,ok
Test_177,65,-4,10805.0777444,2,2,high,ok
Test_178,79,72,6917.04697491,1,1,high,ok
Test_179,36,-84,13327.407454,2,2,high,ok
Test_180,22,-27,10229.4984285,2,3,high,ok
Test_181,-47,5,10282.5719076,2,2,high,ok
Test_182,16,-60,11961.9587398,2,2,high,ok
Test_183,70,-63,10009.3121341,1,1,high,ok
Test_184,58,-22,12280.4425861,2,2,high,ok
Test_185,-4,7,5713.53649114,3,3,medium,short_curve_but_usable
Test_186,61,-55,13104.5603553,1,1,high,ok
Test_187,51,-25,12486.8862646,2,2,high,ok
Test_188,-30,-6,8514.80439425,3,3,high,ok
Test_189,-82,-27,12331.1785852,2,2,high,ok
Test_190,31,-45,13357.8399023,2,2,high,ok
Test_191,-48,-78,12252.301561,1,1,high,ok
Test_192,-34,65,13848.236456,2,2,high,ok
Test_193,41,-83,13421.6342435,1,1,high,ok
Test_194,-29,74,13034.4433166,2,2,high,ok
Test_195,43,37,14330.1557036,1,1,high,ok
Test_196,-73,89,6140.2527211,1,1,high,ok
Test_197,-41,12,10217.7984449,2,3,high,ok
Test_198,-64,-44,14730.2615499,1,1,high,ok
Test_199,-62,-53,13540.2440583,1,1,high,ok
Test_200,35,82,13304.7458106,2,2,high,ok
Test_201,-69,46,14713.4584525423,1,1,high,ok
Test_202,54,-51,14143.002232421,1,1,high,ok
Test_203,-41,-60,14736.8051949966,1,1,high,ok
Test_204,70,64,9777.93927832567,1,1,high,ok
Test_205,28,0,8084.54253073211,3,3,high,ok
Test_206,-88,-74,5930.51916355873,1,1,high,ok
Test_207,64,84,7912.42649987792,1,1,high,ok
Test_208,-76,80,6276.11273990952,1,1,high,ok
Test_209,-5,73,10943.1777789456,2,2,high,ok
Test_210,81,-19,11496.6517573558,2,2,high,ok
Test_211,-54,25,12588.9903062784,2,2,high,ok
Test_212,-85,-39,13228.4458713519,2,2,high,ok
Test_213,6,-80,10757.822418172,2,2,high,ok
Test_214,88,-56,9368.07450234547,1,1,high,ok
Test_215,-15,-1,6249.06905466469,3,3,high,ok
Test_216,-45,-46,15012.716397063,1,1,high,ok
Test_217,71,1,10643.6393796586,2,2,high,ok
Test_218,-14,24,8714.76689759948,3,3,high,ok
Test_219,47,-76,12825.2384906136,1,1,high,ok
Test_220,41,88,13172.0014559844,1,1,high,ok
Test_221,17,-80,11604.4306745973,2,2,high,ok
Test_222,28,-80,12774.0770024773,2,2,high,ok
Test_223,31,71,13310.488571105,2,2,high,ok
Test_224,33,44,13663.7660694357,2,2,high,ok
Test_225,20,-27,9875.4607791255,2,2,high,ok
Test_226,-15,46,11216.4972515656,2,2,high,ok
Test_227,-72,0,10652.8484658869,2,2,high,ok
Test_228,42,-83,13274.6156007379,1,1,high,ok
Test_229,-83,61,8541.76355414934,1,1,high,ok
Test_230,45,-74,13597.9189175266,1,1,high,ok
Test_231,-27,38,12178.2674620367,2,2,high,ok
Test_232,-56,26,12806.6452724032,2,2,high,ok
Test_233,52,-84,10522.9193016957,1,1,high,ok
Test_234,23,-68,12536.9771694044,2,2,high,ok
Test_235,-63,2,10900.9634557258,2,2,high,ok
Test_236,80,72,6800.73429496865,1,1,high,ok
Test_237,11,46,10762.412190422,2,2,high,ok
Test_238,75,55,10805.7569974275,1,1,high,ok
Test_239,-31,-79,13044.4563544934,2,2,high,ok
Test_240,2,-73,10949.0331234622,2,2,high,ok
Test_241,40,-77,13778.7771000721,2,1,model_high,ok
Test_242,16,-10,6878.5399567018,3,3,high,ok
Test_243,-47,65,15075.0536671224,1,1,high,ok
Test_244,21,-26,9959.22529526549,2,2,high,ok
Test_245,38,-71,13935.6722284767,2,2,high,ok
Test_246,-41,87,13195.2628197854,1,1,high,ok
Test_247,-81,-10,10702.5136560162,2,2,high,ok
Test_248,-77,51,11548.8947676503,1,1,high,ok
Test_249,-58,-27,12865.6365293124,2,2,high,ok
Test_250,-51,-40,14825.6091730173,1,1,high,ok
Test_251,-49,-84,11286.8981278139,1,1,high,ok
Test_252,65,34,13582.2521258956,2,2,high,ok
Test_253,-32,69,13513.0108475982,2,2,high,ok
Test_254,37,74,13705.9211705737,2,2,high,ok
Test_255,26,-62,13013.3135295636,2,2,high,ok
Test_256,-82,-54,10170.3964361413,1,1,high,ok
Test_257,6,36,9442.08941007177,2,2,high,ok
Test_258,-45,-78,13161.0485787146,1,1,high,ok
Test_259,-65,69,9961.52899816816,1,1,high,ok
Test_260,47,-18,11343.954739039,2,2,high,ok
Test_261,-53,83,10375.5603699807,1,1,high,ok
Test_262,-4,70,10994.1934761941,2,2,high,ok
Test_263,-23,-67,12565.0977150335,2,2,high,ok
Test_264,76,48,12438.9435892673,1,1,high,ok
Test_265,-19,30,10008.7917364659,2,2,high,ok
Test_266,38,-75,13749.6594938108,2,1,model_high,ok
Test_267,49,53,14337.2223443229,1,1,high,ok
Test_268,2,72,10946.4904450555,2,2,high,ok
Test_269,41,-22,11459.2114973758,2,2,high,ok
Test_270,-21,8,7380.45064142783,3,3,high,ok
Test_271,-36,-11,9614.09144478225,2,2,high,ok
Test_272,-65,36,13812.089506958,2,1,model_high,ok
Test_273,-21,30,10379.9999350059,2,2,high,ok
Test_274,34,-29,12018.0540659461,2,2,high,ok
Test_275,-32,-82,13082.1574507343,2,2,high,ok
Test_276,-55,-10,11068.8982357084,2,2,high,ok
Test_277,41,-54,15076.9105785936,1,1,high,ok
Test_278,-58,-31,13398.269507876,2,2,high,ok
Test_279,51,-22,12131.8579464691,2,2,high,ok
Test_280,55,-15,11442.8501429008,2,2,high,ok
Test_281,-76,-89,5726.00253590003,1,1,high,ok
Test_282,32,8,8891.96813090958,2,2,high,ok
Test_283,13,90,10953.7981202937,2,2,high,ok
Test_284,26,-2,7864.59397163862,3,3,high,ok
Test_285,6,16,6711.84767085781,3,3,high,ok
Test_286,43,52,15525.674342884,1,1,high,ok
Test_287,20,24,9444.09385930497,2,2,high,ok
Test_288,75,52,11544.7314015205,1,1,high,ok
Test_289,13,-85,11066.8441687687,2,2,high,ok
Test_290,35,27,11709.8618596998,2,2,high,ok
Test_291,-52,-35,13944.8454930924,2,1,model_high,ok
Test_292,-54,-72,11580.6606598891,1,1,high,ok
Test_293,-58,-40,14531.1701397919,2,1,model_high,ok
Test_294,-52,-80,10915.09564881,1,1,high,ok
Test_295,34,-45,13943.52803784,2,1,model_high,ok
Test_296,-5,5,5506.61260131286,3,3,needs_review,short_curve
Test_297,-58,2,10810.0291492321,2,2,high,ok
Test_298,25,-82,12420.5839448277,2,2,high,ok
Test_299,-30,-10,8802.60594255605,3,3,high,ok
Test_300,-73,-18,11712.978120585,2,2,high,ok
