Test_ID,Theta1,Theta2,Pt,type,original_type,confidence,data_quality
Test_084,-58,-24,12524.5140599,2,2,high,ok
Test_085,-27,19,9417.82771356,2,3,high,ok
Test_086,-44,-26,12245.5779794,2,2,high,ok
Test_087,87,-65,7509.66837585,1,1,high,ok
Test_088,-9,-87,10756.0260455,2,2,high,ok
Test_089,2,55,10907.1079715,2,2,high,ok
Test_090,40,61,14577.3643965,1,1,high,ok
Test_091,50,-64,14112.5001079,1,1,high,ok
Test_092,-7,20,7424.51463188,3,3,high,ok
Test_093,85,-17,11270.3860123,2,2,high,ok
Test_094,18,-59,12147.5052494,2,2,high,ok
Test_095,-26,-51,12850.2082779,2,2,high,ok
Test_096,-86,26,12135.3099879,2,2,high,ok
Test_097,71,68,8847.4586782,1,1,high,ok
Test_098,-1,-33,8960.34622804,3,3,high,ok
Test_099,64,-58,12185.3424231,1,1,high,ok
Test_100,-77,-19,11634.7323779,2,2,high,ok
Test_101,-37,81,13440.2598303,2,2,high,ok
Test_102,-38,46,14808.4641699,2,2,high,ok
Test_103,-40,-10,9984.05626145,2,2,high,ok
Test_104,-31,10,8924.95154098,2,2,high,ok
Test_105,-65,-72,9300.11790439,1,1,high,ok
Test_106,-10,-49,10970.0289598,2,2,high,ok
Test_107,-53,-14,11260.548918,2,2,high,ok
Test_108,-12,31,9314.47240294,2,2,high,ok
Test_109,44,-41,15345.4613297,1,1,high,ok
Test_110,-74,-31,12992.5198404,2,2,high,ok
Test_111,31,-77,13134.687782,2,2,high,ok
Test_112,25,2,7655.85315934,3,3,high,ok
Test_113,57,13,11299.4011787,2,2,high,ok
Test_114,42,-63,14718.0313279,2,2,high,ok
Test_115,60,35,13845.6240585,2,2,high,ok
Test_116,29,-81,12819.2785204,2,2,high,ok
Test_117,54,80,10416.4315687,1,1,high,ok
Test_118,83,16,11130.6301996,2,2,high,ok
Test_119,3,27,8229.63513899,3,3,high,ok
Test_120,10,76,11096.7855791,2,2,high,ok
Test_121,-6,-20,7287.16586669,3,3,high,ok
Test_122,-76,-7,10743.7314964,2,2,high,ok
Test_123,-24,0,7458.52931859,3,3,high,ok
Test_124,86,43,12728.390697,1,1,high,ok
Test_125,15,-39,10577.8761174,2,2,high,ok
Test_126,-78,64,8487.83576137,1,1,high,ok
Test_127,-22,-34,10927.5262813,2,2,high,ok
Test_128,67,-77,8128.11918789,1,1,high,ok
Test_129,53,17,11654.9316356,2,2,high,ok
Test_130,5,84,10570.5302321,2,2,high,ok
Test_131,-89,71,6381.47112682,1,1,high,ok
Test_132,51,58,13688.2716321,1,1,high,ok
Test_133,-72,-54,11493.7807035,1,1,high,ok
Test_134,-18,71,11920.1463932,2,2,high,ok
Test_135,75,-31,12934.6143852,2,2,high,ok
Test_136,-50,-9,10701.5029581,2,2,high,ok
Test_137,-19,70,12129.0031345,2,2,high,ok
Test_138,37,34,13360.2164885,2,2,high,ok
Test_139,48,-47,14922.3870876,1,1,high,ok
Test_140,-3,-6,5514.66786628,3,3,medium,short_curve_but_usable
Test_141,72,-18,11692.7014026,2,2,high,ok
Test_142,20,-1,7022.17463591,3,3,high,ok
Test_143,8,9,5996.67837275,3,3,high,ok
Test_144,27,-85,12621.1145329,2,2,high,ok
Test_145,-30,67,13318.4264905,2,2,high,ok
Test_146,-11,38,10044.7030767,2,2,high,ok
Test_147,-69,-49,13080.5694308,1,1,high,ok
Test_148,41,-14,10416.2570063,2,2,high,ok
Test_149,22,-68,12469.6002001,2,2,high,ok
Test_150,5,-35,9223.40466597,2,2,high,ok
Test_151,-53,6,10764.3054006,2,2,high,ok
Test_152,-52,62,13831.0420452,2,2,needs_review,insufficient_post_transition_tail
Test_153,-82,-88,5030.89170978,1,1,high,ok
Test_154,24,53,12645.6997874,2,2,high,ok
Test_155,19,48,11753.8752382,2,2,high,ok
Test_156,74,-74,7350.55346826,1,1,high,ok
Test_157,-59,-37,14086.4616185,2,2,high,ok
Test_158,76,3,10600.9154278,2,2,high,ok
Test_159,-58,75,10217.6885379,1,1,high,ok
Test_160,27,5,8097.91141296,3,3,high,ok
Test_161,47,-42,15470.7745649,1,1,high,ok
Test_162,-4,55,10940.3748355,2,3,high,ok
Test_163,-78,84,5655.14745652,1,1,high,ok
Test_164,-8,62,11264.3351755,2,2,high,ok
Test_165,6,-37,9591.09529786,2,2,high,ok
Test_166,-22,23,9513.90070856,2,3,high,ok
Test_167,-71,-50,12548.3516226,1,1,high,ok
Test_168,-16,-87,11321.4364875,2,2,high,ok
Test_169,-46,-76,13088.8307702,1,1,high,ok
Test_170,1,-16,6623.36827501,3,3,high,ok
Test_171,80,66,7841.75266685,1,1,high,ok
Test_172,7,42,10179.1678289,2,2,high,ok
Test_173,68,90,6965.14153175,1,1,high,ok
Test_174,-69,28,12873.7624564,2,2,high,ok
Test_175,66,18,11826.6629083,2,2,high,ok
Test_176,-56,-10,11056.9717629,2,2,high,ok
Test_177,65,-4,10805.0777444,2,2,high,ok
Test_178,79,72,6917.04697491,1,1,high,ok
Test_179,36,-84,13327.407454,2,2,high,ok
Test_180,22,-27,10229.4984285,2,3,high,ok
Test_181,-47,5,10282.5719076,2,2,high,ok
Test_182,16,-60,11961.9587398,2,2,high,ok
Test_183,70,-63,10009.3121341,1,1,high,ok
Test_184,58,-22,12280.4425861,2,2,high,ok
Test_185,-4,7,5713.53649114,3,3,medium,short_curve_but_usable
Test_186,61,-55,13104.5603553,1,1,high,ok
Test_187,51,-25,12486.8862646,2,2,high,ok
Test_188,-30,-6,8514.80439425,3,3,high,ok
Test_189,-82,-27,12331.1785852,2,2,high,ok
Test_190,31,-45,13357.8399023,2,2,high,ok
Test_191,-48,-78,12252.301561,1,1,high,ok
Test_192,-34,65,13848.236456,2,2,high,ok
Test_193,41,-83,13421.6342435,1,1,high,ok
Test_194,-29,74,13034.4433166,2,2,high,ok
Test_195,43,37,14330.1557036,1,1,high,ok
Test_196,-73,89,6140.2527211,1,1,high,ok
Test_197,-41,12,10217.7984449,2,3,high,ok
Test_198,-64,-44,14730.2615499,1,1,high,ok
Test_199,-62,-53,13540.2440583,1,1,high,ok
Test_200,35,82,13304.7458106,2,2,high,ok
