case,test_id,theta1,theta2,pt,original_label,final_label,confidence,decision_reason,data_quality,n_points,transition_index,post_points,r2_post,nrmse_post,quad_a,abs_quad_a,slope_drift,slope_ratio,tail_r2
Case3,Test_019,-28.0,-86.0,12696.703759407956,2,2,high,kept_original_label,ok,1001,175,806,0.9948510997062163,0.020399943833634693,-0.2700795398885616,0.2700795398885616,0.470041604673317,0.6309262556569802,0.9998871489186607
Case3,Test_020,-15.0,-39.0,10465.36292676107,2,2,high,kept_original_label,ok,1001,95,886,0.9874203140316036,0.03156555749257108,-0.4158254097930211,0.4158254097930211,0.7232012555913504,0.49539716658255534,0.9997443649498952
Case3,Test_021,-2.0,-69.0,10946.161436968376,2,2,high,kept_original_label,ok,1001,91,890,0.9887258135150306,0.030013334068033623,-0.39690496940157716,0.39690496940157716,0.6757230040164506,0.5165873614232975,0.9997617964095352
Case3,Test_022,-19.0,-70.0,12126.162185527584,2,2,high,kept_original_label,ok,1001,130,851,0.9926235718821201,0.02434312853188571,-0.32213205964588765,0.32213205964588765,0.556714900859306,0.5800324936045504,0.9998429776636655
Case3,Test_023,-49.0,30.0,13141.534345512744,2,2,high,kept_original_label,ok,1001,258,723,0.9956395699387091,0.01865852313556778,-0.24336409402996867,0.24336409402996867,0.45098727040559605,0.6473880466030835,0.9999342849732089
Case3,Test_024,59.0,-11.0,11242.04177243782,2,2,high,kept_original_label,ok,1001,104,877,0.9902703432413863,0.027832872034635636,-0.36728071393432415,0.36728071393432415,0.6405319313498027,0.5360123634460056,0.9998012579036327
Case3,Test_025,-11.0,53.0,11303.278643869868,2,2,high,kept_original_label,ok,1001,102,879,0.9898608079448978,0.02837964300688215,-0.3741049598196608,0.3741049598196608,0.6564305699197491,0.5283903443503817,0.9997950783488389
Case3,Test_026,-56.0,40.0,14645.648847817518,1,1,high,kept_original_label,ok,1001,492,489,0.9975503103223508,0.014104694686184591,-0.18439013244045313,0.18439013244045313,0.32694751294134733,0.7276195378497734,0.9999743659505014
Case3,Test_027,62.0,-28.0,13035.037772851014,2,2,high,kept_original_label,ok,1001,205,776,0.9951902232877448,0.019641452290284783,-0.25826227698403575,0.25826227698403575,0.4656379476898353,0.6361862086843789,0.9999103051230909
Case3,Test_028,-60.0,15.0,11649.316191861824,2,2,high,kept_original_label,ok,1001,117,864,0.9914411339417326,0.026134616871617777,-0.3449639438590469,0.3449639438590469,0.6040008533137556,0.5552860940032354,0.9998260549175118
Case3,Test_029,-86.0,4.0,10320.775755703318,2,2,high,kept_original_label,ok,1001,89,892,0.9876193605980412,0.031597811248704366,-0.41947967657147417,0.41947967657147417,0.6874941785659066,0.5069304186013591,0.9997327517233564
Case3,Test_030,-45.0,-21.0,11546.71001447416,2,2,high,kept_original_label,ok,1001,142,839,0.9919963411853603,0.025213342986759337,-0.3314386498815245,0.3314386498815245,0.5938749526512508,0.5627789123980099,0.9998478279167364
Case3,Test_031,39.0,-42.0,15017.775006907892,1,1,high,kept_original_label,ok,1001,466,515,0.9976713830218434,0.013678847916358495,-0.17595309323994662,0.17595309323994662,0.33253005595665935,0.7261159117227314,0.9999807441006343
Case3,Test_032,-68.0,32.0,13277.32875048817,2,2,high,kept_original_label,ok,1001,238,743,0.9958049482016289,0.018354700958736096,-0.2409053780799408,0.2409053780799408,0.43671480356952314,0.6546002760240516,0.9999286393918216
Case3,Test_033,30.0,-72.0,13215.35481227484,2,2,high,kept_original_label,ok,1001,207,774,0.9955002860583075,0.019029046086433826,-0.2507086422734109,0.2507086422734109,0.44852919219318094,0.6460768778073344,0.9999140082382678
Case3,Test_034,65.0,-56.0,12354.30193153408,1,1,high,kept_original_label,ok,1001,735,246,0.999220380986026,0.007982101976427876,-0.10083706466336019,0.10083706466336019,0.19735386510536884,0.8253752854683608,0.999996436496525
Case3,Test_035,62.0,45.0,14991.902085610658,1,1,high,kept_original_label,ok,1001,610,371,0.9980389898798823,0.012688126008607801,-0.16699173666057499,0.16699173666057499,0.28271318918554783,0.7577377335788408,0.9999771211674681
Case3,Test_036,-51.0,58.0,13740.092703315842,1,1,high,kept_original_label,ok,1001,731,250,0.9999822182919443,0.0012293776159018118,-0.00498817253379829,0.00498817253379829,0.03412066526482041,1.0089149436984728,0.9999970037509
Case3,Test_037,82.0,-75.0,6153.885585728901,1,1,high,kept_original_label,ok,1001,427,554,0.9996375567962744,0.005469324055508566,-0.07181361900649647,0.07181361900649647,0.13283388408678817,0.8768818366352211,0.999993247118668
Case3,Test_038,-37.0,59.0,14336.838329497168,1,1,high,kept_original_label,ok,1001,377,604,0.9970519293742671,0.015417639369779041,-0.20114072321234544,0.20114072321234544,0.36690054661315097,0.7009213519891002,0.9999639082462347
Case3,Test_039,-35.0,-29.0,12075.475496133024,2,2,high,kept_original_label,ok,1001,193,788,0.99373411230434,0.02240724793872346,-0.2951374872751405,0.2951374872751405,0.5228953313540408,0.6015715018575594,0.9998783372685894
Case3,Test_040,84.0,24.0,11962.435886916714,2,2,high,kept_original_label,ok,1001,146,835,0.9937257592474811,0.022490890175320556,-0.29790660205019276,0.29790660205019276,0.5155570070750842,0.6034888908985732,0.9998608354671075
Case3,Test_041,12.0,88.0,10994.108521948958,2,2,high,kept_original_label,ok,1001,100,881,0.9898259039774062,0.028687536669150943,-0.38111148256282057,0.38111148256282057,0.6297522704317582,0.5367855059265738,0.999769915318681
Case3,Test_042,-80.0,36.0,13227.695132386554,2,2,high,kept_original_label,ok,1001,263,718,0.9961362130421292,0.0176209287921765,-0.23093154112877498,0.23093154112877498,0.42035236231175716,0.665281331063989,0.9999378839052933
Case3,Test_043,90.0,52.0,10254.885168858957,1,1,high,kept_original_label,ok,1001,418,563,0.9991761830487463,0.008213564021433667,-0.10749656223297689,0.10749656223297689,0.20034185540389893,0.8213114675189691,0.999986437376483
Case3,Test_044,-83.0,8.0,10548.586958295096,2,2,high,kept_original_label,ok,1001,93,888,0.9887065897168165,0.03015545561605938,-0.40012519137837416,0.40012519137837416,0.6644726172734424,0.5194596704419177,0.9997547170784069
Case3,Test_045,77.0,-20.0,11758.374301300038,2,2,high,kept_original_label,ok,1001,129,852,0.9926360646798383,0.02433704747684265,-0.32229219500280853,0.32229219500280853,0.5551532748593253,0.5804911013284617,0.999840845662675
Case3,Test_046,56.0,-82.0,9755.358691862666,1,1,high,kept_original_label,ok,1001,474,507,0.99939252385458,0.007055484688704171,-0.09163495538867476,0.09163495538867476,0.17549133438433176,0.8416822379228233,0.9999913266101729
Case3,Test_047,-33.0,64.0,13728.306127293166,2,2,high,kept_original_label,ok,1001,267,714,0.9962341519657512,0.01739485625405971,-0.22789778147294062,0.22789778147294062,0.4161509080192859,0.6680028941942792,0.9999394533396732
Case3,Test_048,-23.0,-2.0,7396.39157644774,3,3,high,kept_original_label,ok,1001,40,941,0.969258226344114,0.04886988687539274,-0.6419069778994914,0.6419069778994914,1.1346184218765825,0.3266991107543858,0.9986896751120117
Case3,Test_049,4.0,78.0,10746.049573200313,2,2,high,kept_original_label,ok,1001,90,891,0.9882599629796309,0.03072143942925299,-0.40728936492205864,0.40728936492205864,0.6775621047694145,0.5133769007068548,0.9997473736491014
Case3,Test_050,-13.0,60.0,11613.947845338616,2,2,high,kept_original_label,ok,1001,109,872,0.9909013482635091,0.026939246750091652,-0.35568620295323083,0.35568620295323083,0.6198633794055514,0.546597339882106,0.99981298095201
Case3,Test_051,-54.0,22.0,12202.188260490584,2,2,high,kept_original_label,ok,1001,155,826,0.9934068665763733,0.022928435283770813,-0.30163045742204536,0.30163045742204536,0.5418904762865007,0.5911824862962747,0.9998710032720606
Case3,Test_052,14.0,-3.0,6306.638379958847,3,3,high,kept_original_label,ok,1001,29,952,0.9587169986737248,0.0565832822304524,-0.7442478328131773,0.7442478328131773,1.3400648342059096,0.2558316194776526,0.9963667963147581
Case3,Test_053,-67.0,23.0,12333.052393041338,2,2,high,kept_original_label,ok,1001,153,828,0.9937495495734268,0.022386202714510323,-0.29548191459983764,0.29548191459983764,0.521838938902776,0.6013309522705071,0.9998736111561094
Case3,Test_054,-36.0,-80.0,13387.540110270374,2,2,high,kept_original_label,ok,1001,263,718,0.9961887043028547,0.01750600366520922,-0.229537820810756,0.229537820810756,0.41740370631002405,0.6670178579500275,0.9999375253768296
Case3,Test_055,69.0,-62.0,10398.020742396053,1,1,high,kept_original_label,ok,1001,682,299,0.9994546879145846,0.006696699781457326,-0.08600464967966427,0.08600464967966427,0.16283040061210582,0.8524772834490688,0.9999962822137262
Case3,Test_056,88.0,-61.0,8280.197979324925,1,1,high,kept_original_label,ok,1001,468,513,0.9992652624996362,0.007748647771782667,-0.1002021508111263,0.1002021508111263,0.1925465474403715,0.8282368480669338,0.9999914773032317
Case3,Test_057,-85.0,56.0,9493.644210179262,1,1,high,kept_original_label,ok,1001,461,520,0.9992420613371055,0.007872888479192226,-0.10219804119423878,0.10219804119423878,0.19440427926195014,0.8266454775136243,0.9999899694688552
Case3,Test_058,46.0,41.0,15249.062926910205,1,1,high,kept_original_label,ok,1001,570,411,0.9980081233500873,0.012718763468208076,-0.1651557085337546,0.1651557085337546,0.2966904047146945,0.7497420563862289,0.9999840885474972
Case3,Test_059,34.0,-32.0,12712.566537494591,2,2,high,kept_original_label,ok,1001,224,757,0.9949678796674537,0.020120953063340163,-0.2649395731249489,0.2649395731249489,0.47036081796046086,0.6328261093160247,0.9999034221926164
Case3,Test_060,11.0,-2.0,6059.582829422652,3,3,high,kept_original_label,ok,1001,28,953,0.9547943294111232,0.059429288828579944,-0.782487597842097,0.782487597842097,1.41564117204651,0.23024559319372917,0.9922941751907928
Case3,Test_061,19.0,-67.0,12225.485737862811,2,2,high,kept_original_label,ok,1001,132,849,0.9927572518459623,0.02410758473375674,-0.31878095204902285,0.31878095204902285,0.5546463311375432,0.581618299409925,0.9998488498666648
Case3,Test_062,-45.0,-80.0,12860.83607398302,1,1,high,kept_original_label,ok,1001,399,582,0.9993527047607842,0.007353676803271049,-0.09826229126392325,0.09826229126392325,0.15322677877127633,0.8578408725212563,0.9999807777927674
Case3,Test_063,38.0,69.0,14003.82102632539,2,2,high,kept_original_label,ok,1001,335,646,0.9967229940109805,0.01624199161267588,-0.21212150682362227,0.21212150682362227,0.3857992900968535,0.68829914812118,0.9999570188201271
Case3,Test_064,-65.0,32.0,13414.893230364938,2,2,high,kept_original_label,ok,1001,248,733,0.995930792836537,0.018078714223623234,-0.23712961493529985,0.23712961493529985,0.4307199248574045,0.6585270225613754,0.9999321934519927
Case3,Test_065,-32.0,-36.0,13023.788309883545,2,2,high,kept_original_label,ok,1001,244,737,0.9953462754506404,0.019330581969457486,-0.2537423781620336,0.2537423781620336,0.4564396949056077,0.6423345544947917,0.9999183693136313
Case3,Test_066,-17.0,82.0,11521.58851811688,2,2,high,kept_original_label,ok,1001,115,866,0.9916420893667413,0.025972429775648738,-0.3446724883448869,0.3446724883448869,0.58132984411825,0.5643385105825173,0.9998117533100652
Case3,Test_067,-61.0,78.0,9145.109172394968,1,1,high,kept_original_label,ok,1001,538,443,0.9995163612070279,0.006301800656061091,-0.08144993760402756,0.08144993760402756,0.1570470621610495,0.8570180952412021,0.9999942904689951
Case3,Test_068,45.0,-66.0,14878.35577045945,1,1,high,kept_original_label,ok,1001,557,424,0.9975979411068397,0.013993298880028739,-0.18332855301095954,0.18332855301095954,0.31787766443132487,0.7334856578166858,0.9999764213178319
Case3,Test_069,33.0,-41.0,13575.420872443789,2,2,high,kept_original_label,ok,1001,308,673,0.996092425486923,0.017668377626078216,-0.2296922407277983,0.2296922407277983,0.42687482275927763,0.6630329296431253,0.9999496011465296
Case3,Test_070,48.0,85.0,11487.97281164406,1,1,high,kept_original_label,ok,1001,392,589,0.9992769410070897,0.007730711262086727,-0.10268754573549262,0.10268754573549262,0.17710220889509967,0.8388838367903761,0.9999829408424473
Case3,Test_071,82.0,86.0,5101.552347275622,1,1,high,kept_original_label,ok,1001,353,628,0.9997489924932739,0.004565569589305116,-0.06070480565573259,0.06070480565573259,0.10547136934790623,0.9003303853324545,0.9999931139345964
Case3,Test_072,-21.0,38.0,11165.296616337586,2,2,high,kept_original_label,ok,1001,127,854,0.9905001476967606,0.027510850428820115,-0.36271950848710793,0.36271950848710793,0.6342334089060748,0.5397888995481729,0.9998106587455018
Case3,Test_073,81.0,-73.0,6539.667540500992,1,1,high,kept_original_label,ok,1001,451,530,0.9995969446073718,0.005762436413010775,-0.07533609960272244,0.07533609960272244,0.14088984287729872,0.8702483851682767,0.9999932908185956
Case3,Test_074,78.0,-23.0,11993.206131187177,2,2,high,kept_original_label,ok,1001,143,838,0.9934600536575364,0.02293795550399485,-0.3035664605280221,0.3035664605280221,0.5275485281850313,0.5967395118789943,0.99986005018821
Case3,Test_075,26.0,-58.0,12987.55078271545,2,2,high,kept_original_label,ok,1001,189,792,0.994837468040845,0.020325451197466524,-0.26721062344013624,0.26721062344013624,0.48395605091422406,0.6251423160871703,0.9999008917354326
Case3,Test_076,13.0,14.0,7038.776703174241,3,3,high,kept_original_label,ok,1001,35,946,0.966164139402829,0.05137618717771819,-0.6763843604166346,0.6763843604166346,1.19872949914846,0.30116499762560867,0.997937725772533
Case3,Test_077,-6.0,51.0,10850.911947985682,2,2,high,kept_original_label,ok,1001,90,891,0.9883139750749288,0.03041727818804845,-0.40063721529961016,0.40063721529961016,0.7014470297158752,0.5061724283004689,0.9997616794283272
Case3,Test_078,73.0,-45.0,14002.885581507757,2,2,needs_review,csv_tail_insufficient; kept_original_label,short_curve_but_usable,514,471,33,0.9913838528628668,0.02132495420265217,-0.3063573900560244,0.3063573900560244,nan,nan,nan
Case3,Test_079,0.0,1.0,5357.999595094151,3,3,high,kept_original_label,ok,1006,23,963,0.9433432855759687,0.06739739956715458,-0.8635152697737632,0.8635152697737632,1.6502682536640132,0.15180589101568476,0.9383287713351921
Case3,Test_080,-42.0,-56.0,15077.2102817765,1,1,high,kept_original_label,ok,1001,567,414,0.9979196000529311,0.013031068259366462,-0.17067374199925417,0.17067374199925417,0.2981185244535098,0.74751310837739,0.9999785871051642
Case3,Test_081,-80.0,12.0,10902.263860426216,2,2,high,kept_original_label,ok,1001,101,880,0.9900626196390577,0.028271027303951986,-0.37486866943915664,0.37486866943915664,0.6310040618739482,0.5379755317356061,0.9997822219806807
Case3,Test_082,23.0,-15.0,8380.744453015248,3,3,high,kept_original_label,ok,1001,53,928,0.9764186364050549,0.04305833715411566,-0.5672349627886328,0.5672349627886328,0.9797417644752997,0.38210192157900547,0.9992613799022456
Case3,Test_083,9.0,25.0,8284.221624213846,3,3,high,kept_original_label,ok,1001,47,934,0.9738098713226484,0.04529329699477218,-0.5957638921121874,0.5957638921121874,1.035193157749688,0.36195753377967166,0.9991309217098515
Case3,Test_084,-58.0,-24.0,12524.514059929294,2,2,high,kept_original_label,ok,1001,169,812,0.9940674874723152,0.021775827896783076,-0.28656756317272664,0.28656756317272664,0.5149819519355952,0.6065048235154218,0.99988453565166
Case3,Test_085,-27.0,19.0,9417.827713562066,3,2,high,report_change_supported_by_csv_moderate_curvature,ok,1001,76,905,0.983158705395018,0.03657937280154544,-0.48314779872276914,0.48314779872276914,0.8216186793362582,0.44724017350714346,0.9995872624856771
Case3,Test_086,-44.0,-26.0,12245.577979362271,2,2,high,kept_original_label,ok,1001,193,788,0.9939351055696024,0.021976465398317047,-0.28804169572310456,0.28804169572310456,0.5237268424618545,0.602963262334476,0.999893751711474
Case3,Test_087,87.0,-65.0,7509.668375845864,1,1,high,kept_original_label,ok,1001,467,514,0.9993557899654892,0.007261111269918771,-0.09396777241377076,0.09396777241377076,0.18056535831257708,0.8377893725497867,0.999992341393939
Case3,Test_088,-9.0,-87.0,10756.026045521105,2,2,high,kept_original_label,ok,1001,94,887,0.9887599274153185,0.030148815859575243,-0.4005042460645451,0.4005042460645451,0.6574395726004233,0.5219833671024113,0.9997491344108193
Case3,Test_089,2.0,55.0,10907.10797148394,2,2,high,kept_original_label,ok,1001,89,892,0.988445768220491,0.030268343631905475,-0.398981331300098,0.398981331300098,0.695672433011967,0.5085423723629654,0.9997625115940376
Case3,Test_090,40.0,61.0,14577.36439652324,1,1,high,kept_original_label,ok,1001,445,536,0.9973623562599363,0.014616550099779373,-0.19095188141177036,0.19095188141177036,0.34088889086532875,0.7181888062309284,0.9999710364006988
Case3,Test_091,50.0,-64.0,14112.500107852631,1,1,high,kept_original_label,ok,1001,682,299,0.9996326845824226,0.005559597985615906,0.05712990583155044,0.05712990583155044,0.1398150724313152,1.1417150664075109,0.999998230775786
Case3,Test_092,-7.0,20.0,7424.514631882905,3,3,high,kept_original_label,ok,1001,38,943,0.9693334982285795,0.04900915566229567,-0.6456794966634362,0.6456794966634362,1.1369426659913082,0.32199822177678267,0.9983561665343376
Case3,Test_093,85.0,-17.0,11270.386012263669,2,2,high,kept_original_label,ok,1001,115,866,0.991536040725484,0.026131580287211544,-0.34677242141859715,0.34677242141859715,0.5854135603426981,0.5620839311331485,0.9998087537971756
Case3,Test_094,18.0,-59.0,12147.505249397967,2,2,high,kept_original_label,ok,1001,130,851,0.9924347901475795,0.02458759791983839,-0.3245020478659227,0.3245020478659227,0.5707891365837406,0.573527474456437,0.9998445270385882
Case3,Test_095,-26.0,-51.0,12850.208277886262,2,2,high,kept_original_label,ok,1001,197,784,0.9946965648233148,0.020572115325118774,-0.2697478251757786,0.2697478251757786,0.49406857431978557,0.6199918827016179,0.9999026564163879
Case3,Test_096,-86.0,26.0,12135.309987935554,2,2,high,kept_original_label,ok,1001,157,824,0.9942110048205116,0.0216000690487451,-0.2858742852958903,0.2858742852958903,0.4989281767091909,0.6135809350014911,0.9998746511652336
Case3,Test_097,71.0,68.0,8847.458678202327,1,1,high,kept_original_label,ok,1001,606,375,0.9996371907555153,0.005469367059402548,-0.07076522844130792,0.07076522844130792,0.13422425679118336,0.8762252041729361,0.9999959530508128
Case3,Test_098,-1.0,-33.0,8960.34622803767,3,3,high,kept_original_label,ok,1001,59,922,0.9789447368073506,0.04063849099251137,-0.5342089824139714,0.5342089824139714,0.9265569564907106,0.4058492047245601,0.9994741088799819
Case3,Test_099,64.0,-58.0,12185.342423087131,1,1,high,kept_original_label,ok,1001,766,215,0.9992875821835944,0.007652178849505075,-0.09764906981459262,0.09764906981459262,0.18350714584440092,0.8360542250268186,0.9999964023724565
Case3,Test_100,-77.0,-19.0,11634.73237786286,2,2,high,kept_original_label,ok,1001,125,856,0.9923248445262192,0.024846500149883006,-0.3291097937478453,0.3291097937478453,0.5648706878096277,0.5748564566109137,0.999833242121867
Case3,Test_101,-37.0,81.0,13440.259830333807,2,2,high,kept_original_label,ok,1001,275,706,0.9962630499723573,0.017325922275378575,-0.2267930432880956,0.2267930432880956,0.41433757759950496,0.6693689653950466,0.9999413591319749
Case3,Test_102,-38.0,46.0,14808.464169917032,2,2,high,kept_original_label,ok,1001,473,508,0.9974772325650744,0.014256819587316914,-0.18447911429460317,0.18447911429460317,0.34041392907318296,0.7199544540455395,0.9999783689937282
Case3,Test_103,-40.0,-10.0,9984.056261449554,2,2,high,kept_original_label,ok,1001,83,898,0.9857044405850689,0.03357778148193487,-0.44186131907139925,0.44186131907139925,0.7710645566726099,0.47335000158577345,0.9997048834384729
Case3,Test_104,-31.0,10.0,8924.951540978123,2,2,high,kept_original_label,ok,1001,63,918,0.9801029377468871,0.03955249742086985,-0.5206184014007182,0.5206184014007182,0.8996104239759318,0.41598226637583835,0.9995078767612353
Case3,Test_105,-65.0,-72.0,9300.117904394145,1,1,high,kept_original_label,ok,1001,613,368,0.9997772625241582,0.004295885910514365,-0.05602775699558027,0.05602775699558027,0.1049106211732102,0.9013289797677468,0.9999966784862165
Case3,Test_106,-10.0,-49.0,10970.028959804838,2,2,high,kept_original_label,ok,1001,96,885,0.9887680613468316,0.02982548071008073,-0.39277726144138886,0.39277726144138886,0.6897010605852076,0.5123159788761554,0.9997720656329676
Case3,Test_107,-53.0,-14.0,11260.548917996091,2,2,high,kept_original_label,ok,1001,110,871,0.9905367750206389,0.02741247407672353,-0.3611580149000538,0.3611580149000538,0.63711731620287,0.5386969978305133,0.9998098737231177
Case3,Test_108,-12.0,31.0,9314.47240294474,2,2,high,kept_original_label,ok,1001,67,914,0.9812065928068467,0.03852823604915239,-0.5076691695306421,0.5076691695306421,0.8708026632100628,0.4273516346024314,0.9995491682790995
Case3,Test_109,44.0,-41.0,15345.461329662956,1,1,high,kept_original_label,ok,1001,550,431,0.9980109313078428,0.012690099864677631,-0.16408379172213308,0.16408379172213308,0.3006399882257409,0.7474528661373985,0.9999848739509947
Case3,Test_110,-74.0,-31.0,12992.519840363311,2,2,high,kept_original_label,ok,1001,213,768,0.9954550755907784,0.019117760628673753,-0.25166986018050364,0.25166986018050364,0.4510507795684361,0.6447952125614143,0.9999154598116046
Case3,Test_111,31.0,-77.0,13134.68778201646,2,2,high,kept_original_label,ok,1001,209,772,0.9955966712466302,0.01883511074447841,-0.24829392039921755,0.24829392039921755,0.4425859184659382,0.6495838694075179,0.9999142885275956
Case3,Test_112,25.0,2.0,7655.853159340728,3,3,high,kept_original_label,ok,1001,43,938,0.9715058900921787,0.04709051123581204,-0.6186085329498179,0.6186085329498179,1.088436048408634,0.3433479396849751,0.9989435018376231
Case3,Test_113,57.0,13.0,11299.401178716862,2,2,high,kept_original_label,ok,1001,108,873,0.9906780623935058,0.02723308928040904,-0.35915436197780665,0.35915436197780665,0.6304688073232116,0.5416468270895289,0.9998114206045015
Case3,Test_114,42.0,-63.0,14718.03132788154,2,2,high,kept_original_label,ok,1001,488,493,0.9974352097334299,0.014431659900197874,-0.18878466167691438,0.18878466167691438,0.3326717240871716,0.7235776479925647,0.9999735622744561
Case3,Test_115,60.0,35.0,13845.624058506122,2,2,high,kept_original_label,ok,1001,322,659,0.9966512610194986,0.01641627087499857,-0.21452083097619878,0.21452083097619878,0.3916537044992968,0.6843576875302834,0.999953845644681
Case3,Test_116,29.0,-81.0,12819.278520448112,2,2,high,kept_original_label,ok,1001,185,796,0.9951372167147156,0.019806319722109667,-0.2617582018046755,0.2617582018046755,0.46055597469865933,0.637505008023687,0.9998980626343438
Case3,Test_117,54.0,80.0,10416.43156874245,1,1,high,kept_original_label,ok,1001,477,504,0.9994393439728705,0.006785773699731566,-0.08854258628927124,0.08854258628927124,0.16755522789028326,0.8479502212990834,0.9999910859458896
Case3,Test_118,83.0,16.0,11130.630199581588,2,2,high,kept_original_label,ok,1001,110,871,0.9912227790412663,0.026588939886112654,-0.3526977058865432,0.3526977058865432,0.5965567310317388,0.5562052470764358,0.999803805682057
Case3,Test_119,3.0,27.0,8229.635138991727,3,3,high,kept_original_label,ok,1001,47,934,0.9735993340599421,0.04541787549661346,-0.596837300407737,0.596837300407737,1.0413789098783028,0.360596855641286,0.9991456243795575
Case3,Test_120,10.0,76.0,11096.785579113532,2,2,high,kept_original_label,ok,1001,98,883,0.9897339389876768,0.02872068927191401,-0.380632094669303,0.380632094669303,0.6413313186894258,0.5326590196993399,0.999778915983836
Case3,Test_121,-6.0,-20.0,7287.165866685997,3,3,high,kept_original_label,ok,1001,37,944,0.9688067583530229,0.04941349623293007,-0.6509341738484483,0.6509341738484483,1.148194348036024,0.3180794807153883,0.9982834061510548
Case3,Test_122,-76.0,-7.0,10743.73149639326,2,2,high,kept_original_label,ok,1001,94,887,0.9889550459926291,0.029761538205686028,-0.3942196786504289,0.3942196786504289,0.6641597136906632,0.5210824137815944,0.9997644187348076
