case,case_id,u3_folder,u3_bucket,test_id,theta1,theta2,Pt,pt_source,raw_csv_path,curve_csv,plot_path
Case2,2,2-2,2,018,-53.0,31.0,10022.7,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_018.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_018.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_018_transition.png
Case2,2,2-2,2,019,-79.0,29.0,8975.8,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_019.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_019.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_019_P1.png
Case2,2,2-2,2,020,-2.0,48.0,8489.01,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_020.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_020.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_020_P1.png
Case2,2,2-2,2,022,43.0,-33.0,10640.2,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_022.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_022.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_022_transition.png
Case2,2,2-2,2,024,30.0,75.0,9413.52,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_024.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_024.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_024_P1.png
Case2,2,2-2,2,028,36.0,-31.0,10597.82,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_028.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_028.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_028_P1.png
Case2,2,2-2,2,034,-43.0,-15.0,8225.8,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_034.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_034.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_034_P1.png
Case2,2,2-2,2,040,-27.0,-54.0,9308.02,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_040.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_040.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_040_P1.png
Case2,2,2-2,2,041,-2.0,-68.0,8712.09,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_041.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_041.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_041_P1.png
Case2,2,2-2,2,045,-18.0,-35.0,8854.74,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_045.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_045.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_045_P1.png
Case2,2,2-2,2,047,42.0,27.0,9107.6,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_047.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_047.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_047_P1.png
Case2,2,2-2,2,048,1.0,71.0,8691.37,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_048.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_048.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_048_P1.png
Case2,2,2-2,2,049,-37.0,22.0,8796.44,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_049.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_049.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_049_P1.png
Case2,2,2-2,2,050,-16.0,44.0,8877.12,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_050.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_050.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_050_P1.png
Case2,2,2-2,2,051,28.0,57.0,9336.15,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_051.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_051.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_051_P1.png
Case2,2,2-2,2,052,-79.0,34.0,9034.28,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_052.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_052.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_052_P1.png
Case2,2,2-2,2,053,3.0,87.0,7984.69,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_053.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_053.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_053_P1.png
Case2,2,2-2,2,054,-17.0,-44.0,8871.95,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_054.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_054.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_054_P1.png
Case2,2,2-2,2,056,67.0,-19.0,8144.72,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_056.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_056.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_056_P1.png
Case2,2,2-2,2,057,2.0,74.0,8677.45,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_057.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_057.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_057_P1.png
Case2,2,2-2,2,058,82.0,19.0,8585.22,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_058.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_058.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_058_P1.png
Case2,2,2-2,2,061,0.0,-52.0,8597.57,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_061.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_061.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_061_P1.png
Case2,2,2-2,2,062,33.0,26.0,9522.37,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_062.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_062.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_062_P1.png
Case2,2,2-2,2,063,-75.0,38.0,10920.8,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_063.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_063.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_063_transition.png
Case2,2,2-2,2,064,-20.0,55.0,9213.87,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_064.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_064.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_064_P1.png
Case2,2,2-2,2,065,72.0,31.0,8961.57,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_065.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_065.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_065_P1.png
Case2,2,2-2,2,069,-36.0,57.0,10912.0,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_069.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_069.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_069_transition.png
Case2,2,2-2,2,071,-45.0,-29.0,9138.12,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_071.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_071.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_071_P1.png
Case2,2,2-2,2,073,-22.0,46.0,9232.53,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_073.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_073.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_073_P1.png
Case2,2,2-2,2,075,-22.0,82.0,9367.34,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_075.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_075.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_075_P1.png
Case2,2,2-2,2,076,50.0,5.0,8048.66,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_076.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_076.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_076_P1.png
Case2,2,2-2,2,077,-64.0,20.0,8790.51,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_077.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_077.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_077_P1.png
Case2,2,2-2,2,078,29.0,-79.0,9466.57,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_078.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_078.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_078_P1.png
Case2,2,2-2,2,079,-67.0,39.0,10970.8,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_079.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_079.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_079_transition.png
Case2,2,2-2,2,081,-38.0,-72.0,10977.1,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_081.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_081.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_081_transition.png
Case2,2,2-2,2,083,-12.0,85.0,9169.83,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_083.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_083.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_083_P1.png
Case2,2,2-2,2,087,-38.0,89.0,11639.6,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_087.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_087.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_087_transition.png
Case2,2,2-2,2,089,18.0,-35.0,8920.29,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_089.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_089.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_089_P1.png
Case2,2,2-2,2,090,-65.0,24.0,8927.66,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_090.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_090.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_090_P1.png
Case2,2,2-2,2,091,11.0,36.0,8293.19,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_091.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_091.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_091_P1.png
Case2,2,2-2,2,095,68.0,-30.0,9000.84,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_095.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_095.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_095_P1.png
Case2,2,2-2,2,097,-46.0,-23.0,8747.88,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_097.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_097.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_097_P1.png
Case2,2,2-2,2,101,48.0,15.0,8350.83,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_101.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_101.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_101_P1.png
Case2,2,2-2,2,102,76.0,-24.0,8859.91,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_102.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_102.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_102_P1.png
Case2,2,2-2,2,103,66.0,14.0,8505.85,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_103.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_103.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_103_P1.png
Case2,2,2-2,2,104,83.0,3.0,8064.82,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_104.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_104.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_104_P1.png
Case2,2,2-2,2,106,-12.0,43.0,8634.92,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_106.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_106.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_106_P1.png
Case2,2,2-2,2,107,69.0,8.0,8266.96,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_107.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_107.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_107_P1.png
Case2,2,2-2,2,109,-69.0,17.0,8642.92,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_109.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_109.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_109_P1.png
Case2,2,2-2,2,110,-51.0,1.0,8039.72,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_110.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_110.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_110_P1.png
Case2,2,2-2,2,111,7.0,87.0,8024.11,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_111.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_111.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_111_P1.png
Case2,2,2-2,2,114,-35.0,-78.0,10572.9,transition_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_114.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_114.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_114_transition.png
Case2,2,2-2,2,115,22.0,74.0,9258.09,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_115.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_115.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_115_P1.png
Case2,2,2-2,2,116,12.0,-85.0,9174.09,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_116.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_116.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_116_P1.png
Case2,2,2-2,2,117,-87.0,33.0,9017.6,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_117.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_117.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_117_P1.png
Case2,2,2-2,2,120,-58.0,-26.0,8876.83,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_120.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_120.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_120_P1.png
Case2,2,2-2,2,121,-50.0,14.0,8402.24,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_121.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_121.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_121_P1.png
Case2,2,2-2,2,122,20.0,-73.0,9253.62,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_122.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_122.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_122_P1.png
Case2,2,2-2,2,123,76.0,4.0,8125.45,p1_plot_title,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/csv/force_disp_Test_123.csv,/Users/danlee/KyulAI_codex/data/datasets/DD_u3_pt_v1/Case2/2-2/csv_load/force_disp_Test_123.csv,/Users/danlee/KyulAI_codex/data/datasets/Double-Double/u3/2-2/plot/plot_Test_123_P1.png
