case,Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path,type_label_source,type_label_confidence,type_label_review_priority
Case2,6x4_011,-39.0,-9.0,20453.97685275137,2,6.0,4.0,6x4_curated_v1,Test_011,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_011.csv,curated_human_review,1.0,none
Case2,6x4_012,-56.0,9.0,21548.379771521366,2,6.0,4.0,6x4_curated_v1,Test_012,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_012.csv,curated_human_review,1.0,none
Case2,6x4_013,61.0,33.0,16122.42566552643,2,6.0,4.0,6x4_curated_v1,Test_013,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_013.csv,curated_human_review,1.0,none
Case2,6x4_014,19.0,79.0,20603.663841197562,2,6.0,4.0,6x4_curated_v1,Test_014,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_014.csv,curated_human_review,1.0,none
Case2,6x4_015,35.0,60.0,15944.291849701582,2,6.0,4.0,6x4_curated_v1,Test_015,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_015.csv,curated_human_review,1.0,none
Case2,6x4_016,75.0,-61.0,9605.86968700014,1,6.0,4.0,6x4_curated_v1,Test_016,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_016.csv,curated_human_review,1.0,none
Case2,6x4_017,-30.0,66.0,17554.893196468318,2,6.0,4.0,6x4_curated_v1,Test_017,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_017.csv,curated_human_review,1.0,none
Case2,6x4_018,-53.0,31.0,16200.86354226923,2,6.0,4.0,6x4_curated_v1,Test_018,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_018.csv,curated_human_review,1.0,none
Case2,6x4_019,-79.0,29.0,18047.277970699313,2,6.0,4.0,6x4_curated_v1,Test_019,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_019.csv,curated_human_review,1.0,none
Case2,6x4_020,-2.0,48.0,22366.67657833105,2,6.0,4.0,6x4_curated_v1,Test_020,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_020.csv,curated_human_review,1.0,none
Case2,6x4_021,-49.0,-67.0,13241.473727550778,1,6.0,4.0,6x4_curated_v1,Test_021,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_021.csv,curated_human_review,1.0,none
Case2,6x4_022,43.0,-33.0,15881.001246662378,2,6.0,4.0,6x4_curated_v1,Test_022,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_022.csv,curated_human_review,1.0,none
Case2,6x4_023,62.0,-67.0,10922.264530441522,1,6.0,4.0,6x4_curated_v1,Test_023,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_023.csv,curated_human_review,1.0,none
Case2,6x4_024,30.0,75.0,17917.135662089717,2,6.0,4.0,6x4_curated_v1,Test_024,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_024.csv,curated_human_review,1.0,none
Case2,6x4_025,80.0,-80.0,5972.071636344868,1,6.0,4.0,6x4_curated_v1,Test_025,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_025.csv,curated_human_review,1.0,none
Case2,6x4_026,-81.0,73.0,6739.4461962730475,1,6.0,4.0,6x4_curated_v1,Test_026,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_026.csv,curated_human_review,1.0,none
Case2,6x4_027,54.0,-38.0,15371.954601045092,1,6.0,4.0,6x4_curated_v1,Test_027,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_027.csv,curated_human_review,1.0,none
Case2,6x4_028,36.0,-31.0,16320.794939680867,2,6.0,4.0,6x4_curated_v1,Test_028,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_028.csv,curated_human_review,1.0,none
Case2,6x4_029,52.0,-41.0,15273.761643841104,1,6.0,4.0,6x4_curated_v1,Test_029,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_029.csv,curated_human_review,1.0,none
Case2,6x4_030,15.0,-12.0,18261.513326122706,3,6.0,4.0,6x4_curated_v1,Test_030,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_030.csv,curated_human_review,1.0,none
Case2,6x4_031,-55.0,-62.0,12519.355773543584,1,6.0,4.0,6x4_curated_v1,Test_031,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_031.csv,curated_human_review,1.0,none
Case2,6x4_032,-19.0,-7.0,18252.393554508428,3,6.0,4.0,6x4_curated_v1,Test_032,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_032.csv,curated_human_review,1.0,none
Case2,6x4_033,-61.0,86.0,8663.530557652,1,6.0,4.0,6x4_curated_v1,Test_033,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_033.csv,curated_human_review,1.0,none
Case2,6x4_034,-43.0,-15.0,20160.04950343554,2,6.0,4.0,6x4_curated_v1,Test_034,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_034.csv,curated_human_review,1.0,none
Case2,6x4_035,70.0,81.0,7250.725122793007,1,6.0,4.0,6x4_curated_v1,Test_035,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_035.csv,curated_human_review,1.0,none
Case2,6x4_036,8.0,25.0,19258.694031637977,3,6.0,4.0,6x4_curated_v1,Test_036,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_036.csv,curated_human_review,1.0,none
Case2,6x4_037,-85.0,67.0,7423.061614736801,1,6.0,4.0,6x4_curated_v1,Test_037,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_037.csv,curated_human_review,1.0,none
Case2,6x4_038,-56.0,52.0,13779.68239296741,1,6.0,4.0,6x4_curated_v1,Test_038,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_038.csv,curated_human_review,1.0,none
Case2,6x4_039,64.0,42.0,15101.636430104876,1,6.0,4.0,6x4_curated_v1,Test_039,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_039.csv,curated_human_review,1.0,none
Case2,6x4_040,-27.0,-54.0,17635.6244604274,2,6.0,4.0,6x4_curated_v1,Test_040,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_040.csv,curated_human_review,1.0,none
Case2,6x4_041,-2.0,-68.0,22256.993284960623,2,6.0,4.0,6x4_curated_v1,Test_041,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_041.csv,curated_human_review,1.0,none
Case2,6x4_042,84.0,51.0,10880.446089157313,1,6.0,4.0,6x4_curated_v1,Test_042,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_042.csv,curated_human_review,1.0,none
Case2,6x4_043,79.0,-71.0,7260.875534046547,1,6.0,4.0,6x4_curated_v1,Test_043,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_043.csv,curated_human_review,1.0,none
Case2,6x4_044,59.0,-56.0,13010.057232788411,1,6.0,4.0,6x4_curated_v1,Test_044,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_044.csv,curated_human_review,1.0,none
Case2,6x4_045,-18.0,-35.0,19920.166232535616,2,6.0,4.0,6x4_curated_v1,Test_045,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_045.csv,curated_human_review,1.0,none
Case2,6x4_046,-76.0,-77.0,6781.751740967857,1,6.0,4.0,6x4_curated_v1,Test_046,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_046.csv,curated_human_review,1.0,none
Case2,6x4_047,42.0,27.0,17036.221717934684,2,6.0,4.0,6x4_curated_v1,Test_047,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_047.csv,curated_human_review,1.0,none
Case2,6x4_048,1.0,71.0,22383.690349189837,2,6.0,4.0,6x4_curated_v1,Test_048,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_048.csv,curated_human_review,1.0,none
Case2,6x4_049,-37.0,22.0,18357.4640474759,2,6.0,4.0,6x4_curated_v1,Test_049,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_049.csv,curated_human_review,1.0,none
Case2,6x4_050,-16.0,44.0,20756.070138869356,2,6.0,4.0,6x4_curated_v1,Test_050,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_050.csv,curated_human_review,1.0,none
Case2,6x4_051,28.0,57.0,17712.049589651342,2,6.0,4.0,6x4_curated_v1,Test_051,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_051.csv,curated_human_review,1.0,none
Case2,6x4_052,-79.0,34.0,16870.336402522025,2,6.0,4.0,6x4_curated_v1,Test_052,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_052.csv,curated_human_review,1.0,none
Case2,6x4_053,3.0,87.0,22248.78642704942,2,6.0,4.0,6x4_curated_v1,Test_053,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_053.csv,curated_human_review,1.0,none
Case2,6x4_054,-17.0,-44.0,19730.01039931261,2,6.0,4.0,6x4_curated_v1,Test_054,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_054.csv,curated_human_review,1.0,none
Case2,6x4_055,44.0,-49.0,15976.463339044598,1,6.0,4.0,6x4_curated_v1,Test_055,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_055.csv,curated_human_review,1.0,none
Case2,6x4_056,67.0,-19.0,19769.131113534422,2,6.0,4.0,6x4_curated_v1,Test_056,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_056.csv,curated_human_review,1.0,none
Case2,6x4_057,2.0,74.0,22340.2490678272,2,6.0,4.0,6x4_curated_v1,Test_057,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_057.csv,curated_human_review,1.0,none
Case2,6x4_058,82.0,19.0,20342.67136165196,2,6.0,4.0,6x4_curated_v1,Test_058,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_058.csv,curated_human_review,1.0,none
Case2,6x4_059,14.0,3.0,17257.710775301333,3,6.0,4.0,6x4_curated_v1,Test_059,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_059.csv,curated_human_review,1.0,none
Case2,6x4_060,44.0,-84.0,12937.180943069954,1,6.0,4.0,6x4_curated_v1,Test_060,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_060.csv,curated_human_review,1.0,none
Case2,6x4_061,0.0,-52.0,22306.408156250967,2,6.0,4.0,6x4_curated_v1,Test_061,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_061.csv,curated_human_review,1.0,none
Case2,6x4_062,33.0,26.0,17984.52330299771,2,6.0,4.0,6x4_curated_v1,Test_062,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_062.csv,curated_human_review,1.0,none
Case2,6x4_063,-75.0,38.0,16001.171126272333,2,6.0,4.0,6x4_curated_v1,Test_063,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_063.csv,curated_human_review,1.0,none
Case2,6x4_064,-20.0,55.0,19963.39258921645,2,6.0,4.0,6x4_curated_v1,Test_064,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_064.csv,curated_human_review,1.0,none
Case2,6x4_065,72.0,31.0,17401.565138733276,2,6.0,4.0,6x4_curated_v1,Test_065,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_065.csv,curated_human_review,1.0,none
Case2,6x4_066,75.0,72.0,7640.143350666693,1,6.0,4.0,6x4_curated_v1,Test_066,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_066.csv,curated_human_review,1.0,none
Case2,6x4_067,-83.0,68.0,7375.888626669171,1,6.0,4.0,6x4_curated_v1,Test_067,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_067.csv,curated_human_review,1.0,none
Case2,6x4_068,-26.0,-1.0,19456.305973491017,3,6.0,4.0,6x4_curated_v1,Test_068,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_068.csv,curated_human_review,1.0,none
Case2,6x4_069,-36.0,57.0,16012.499820929535,2,6.0,4.0,6x4_curated_v1,Test_069,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_069.csv,curated_human_review,1.0,none
Case2,6x4_070,-89.0,-51.0,10759.603122866465,1,6.0,4.0,6x4_curated_v1,Test_070,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_070.csv,curated_human_review,1.0,none
Case2,6x4_071,-45.0,-29.0,16177.961790320023,2,6.0,4.0,6x4_curated_v1,Test_071,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_071.csv,curated_human_review,1.0,none
Case2,6x4_072,-29.0,13.0,20710.241629599408,3,6.0,4.0,6x4_curated_v1,Test_072,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_072.csv,curated_human_review,1.0,none
Case2,6x4_073,-22.0,46.0,18878.0105001635,2,6.0,4.0,6x4_curated_v1,Test_073,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_073.csv,curated_human_review,1.0,none
Case2,6x4_074,-1.0,-8.0,17026.160511303562,3,6.0,4.0,6x4_curated_v1,Test_074,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_074.csv,curated_human_review,1.0,none
Case2,6x4_075,-22.0,82.0,20009.09898157673,2,6.0,4.0,6x4_curated_v1,Test_075,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_075.csv,curated_human_review,1.0,none
Case2,6x4_076,50.0,5.0,21885.93175823237,2,6.0,4.0,6x4_curated_v1,Test_076,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_076.csv,curated_human_review,1.0,none
Case2,6x4_077,-64.0,20.0,19538.7897396166,2,6.0,4.0,6x4_curated_v1,Test_077,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_077.csv,curated_human_review,1.0,none
Case2,6x4_078,29.0,-79.0,18246.36351476399,2,6.0,4.0,6x4_curated_v1,Test_078,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_078.csv,curated_human_review,1.0,none
Case2,6x4_079,-67.0,39.0,15713.299234921931,2,6.0,4.0,6x4_curated_v1,Test_079,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_079.csv,curated_human_review,1.0,none
Case2,6x4_080,-53.0,-64.0,13114.080150028736,1,6.0,4.0,6x4_curated_v1,Test_080,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_080.csv,curated_human_review,1.0,none
Case2,6x4_081,-38.0,-72.0,16048.612139956382,2,6.0,4.0,6x4_curated_v1,Test_081,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_081.csv,curated_human_review,1.0,none
Case2,6x4_082,85.0,48.0,11621.81100951362,1,6.0,4.0,6x4_curated_v1,Test_082,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_082.csv,curated_human_review,1.0,none
Case2,6x4_083,-12.0,85.0,21304.411023413217,2,6.0,4.0,6x4_curated_v1,Test_083,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_083.csv,curated_human_review,1.0,none
Case2,6x4_084,77.0,-48.0,12216.006785058336,1,6.0,4.0,6x4_curated_v1,Test_084,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_084.csv,curated_human_review,1.0,none
Case2,6x4_085,45.0,75.0,12644.76230239052,1,6.0,4.0,6x4_curated_v1,Test_085,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_085.csv,curated_human_review,1.0,none
Case2,6x4_086,-41.0,-54.0,15334.76214970965,1,6.0,4.0,6x4_curated_v1,Test_086,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_086.csv,curated_human_review,1.0,none
Case2,6x4_087,-38.0,89.0,16110.326157228694,2,6.0,4.0,6x4_curated_v1,Test_087,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_087.csv,curated_human_review,1.0,none
Case2,6x4_088,23.0,33.0,18667.182044892546,3,6.0,4.0,6x4_curated_v1,Test_088,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_088.csv,curated_human_review,1.0,none
Case2,6x4_089,18.0,-35.0,20004.824334374945,2,6.0,4.0,6x4_curated_v1,Test_089,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_089.csv,curated_human_review,1.0,none
Case2,6x4_090,-65.0,24.0,19166.219234683158,2,6.0,4.0,6x4_curated_v1,Test_090,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_090.csv,curated_human_review,1.0,none
Case2,6x4_091,11.0,36.0,21814.638817993655,2,6.0,4.0,6x4_curated_v1,Test_091,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_091.csv,curated_human_review,1.0,none
Case2,6x4_092,-38.0,-40.0,16069.93561325196,1,6.0,4.0,6x4_curated_v1,Test_092,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_092.csv,curated_human_review,1.0,none
Case2,6x4_093,-70.0,-78.0,7570.430723745265,1,6.0,4.0,6x4_curated_v1,Test_093,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_093.csv,curated_human_review,1.0,none
Case2,6x4_094,73.0,-55.0,11130.10844688354,1,6.0,4.0,6x4_curated_v1,Test_094,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_094.csv,curated_human_review,1.0,none
Case2,6x4_095,68.0,-30.0,17574.428229042365,2,6.0,4.0,6x4_curated_v1,Test_095,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_095.csv,curated_human_review,1.0,none
Case2,6x4_096,84.0,-52.0,10765.94834339393,1,6.0,4.0,6x4_curated_v1,Test_096,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_096.csv,curated_human_review,1.0,none
Case2,6x4_097,-46.0,-23.0,17815.678284165737,2,6.0,4.0,6x4_curated_v1,Test_097,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_097.csv,curated_human_review,1.0,none
Case2,6x4_098,-1.0,36.0,21657.29273727099,3,6.0,4.0,6x4_curated_v1,Test_098,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_098.csv,curated_human_review,1.0,none
Case2,6x4_099,90.0,40.0,12347.284819586124,1,6.0,4.0,6x4_curated_v1,Test_099,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_099.csv,curated_human_review,1.0,none
Case2,6x4_100,69.0,62.0,10335.948527733512,1,6.0,4.0,6x4_curated_v1,Test_100,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_100.csv,curated_human_review,1.0,none
Case2,6x4_101,48.0,15.0,20117.588072242153,2,6.0,4.0,6x4_curated_v1,Test_101,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_101.csv,curated_human_review,1.0,none
Case2,6x4_102,76.0,-24.0,19209.213496979915,2,6.0,4.0,6x4_curated_v1,Test_102,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_102.csv,curated_human_review,1.0,none
Case2,6x4_103,66.0,14.0,20725.43237640009,2,6.0,4.0,6x4_curated_v1,Test_103,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_103.csv,curated_human_review,1.0,none
Case2,6x4_104,83.0,3.0,21975.393590152078,2,6.0,4.0,6x4_curated_v1,Test_104,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_104.csv,curated_human_review,1.0,none
Case2,6x4_105,89.0,-77.0,5742.907653147176,1,6.0,4.0,6x4_curated_v1,Test_105,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_105.csv,curated_human_review,1.0,none
Case2,6x4_106,-12.0,43.0,21828.546895226827,2,6.0,4.0,6x4_curated_v1,Test_106,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_106.csv,curated_human_review,1.0,none
Case2,6x4_107,69.0,8.0,21621.816505972165,2,6.0,4.0,6x4_curated_v1,Test_107,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_107.csv,curated_human_review,1.0,none
Case2,6x4_108,46.0,-72.0,12968.26670199502,1,6.0,4.0,6x4_curated_v1,Test_108,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_108.csv,curated_human_review,1.0,none
Case2,6x4_109,-69.0,17.0,21042.62463381931,2,6.0,4.0,6x4_curated_v1,Test_109,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_109.csv,curated_human_review,1.0,none
Case2,6x4_110,-51.0,1.0,22174.53314878391,2,6.0,4.0,6x4_curated_v1,Test_110,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_110.csv,curated_human_review,1.0,none
Case2,6x4_111,7.0,87.0,21974.814743022594,2,6.0,4.0,6x4_curated_v1,Test_111,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_111.csv,curated_human_review,1.0,none
Case2,6x4_112,21.0,-8.0,18812.197482628868,3,6.0,4.0,6x4_curated_v1,Test_112,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_112.csv,curated_human_review,1.0,none
Case2,6x4_113,35.0,-2.0,21502.654428246453,3,6.0,4.0,6x4_curated_v1,Test_113,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_113.csv,curated_human_review,1.0,none
Case2,6x4_114,-35.0,-78.0,16641.048662185567,2,6.0,4.0,6x4_curated_v1,Test_114,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_114.csv,curated_human_review,1.0,none
Case2,6x4_115,22.0,74.0,19382.289896574675,2,6.0,4.0,6x4_curated_v1,Test_115,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_115.csv,curated_human_review,1.0,none
Case2,6x4_116,12.0,-85.0,21318.920308209603,2,6.0,4.0,6x4_curated_v1,Test_116,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_116.csv,curated_human_review,1.0,none
Case2,6x4_117,-87.0,33.0,16964.578443697086,2,6.0,4.0,6x4_curated_v1,Test_117,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_117.csv,curated_human_review,1.0,none
Case2,6x4_118,54.0,-88.0,10111.479383002628,1,6.0,4.0,6x4_curated_v1,Test_118,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_118.csv,curated_human_review,1.0,none
Case2,6x4_119,31.0,-10.0,21139.901650976884,3,6.0,4.0,6x4_curated_v1,Test_119,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_119.csv,curated_human_review,1.0,none
Case2,6x4_120,-58.0,-26.0,17659.519380381615,2,6.0,4.0,6x4_curated_v1,Test_120,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_120.csv,curated_human_review,1.0,none
Case2,6x4_121,-50.0,14.0,21062.79375991071,2,6.0,4.0,6x4_curated_v1,Test_121,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_121.csv,curated_human_review,1.0,none
Case2,6x4_122,20.0,-73.0,20426.1417112616,2,6.0,4.0,6x4_curated_v1,Test_122,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_122.csv,curated_human_review,1.0,none
Case2,6x4_123,76.0,4.0,21923.73339124474,2,6.0,4.0,6x4_curated_v1,Test_123,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_123.csv,curated_human_review,1.0,none
Case2,6x4_124,42.0,-66.0,15417.937098843093,1,6.0,4.0,6x4_curated_v1,Test_124,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_124.csv,curated_human_review,1.0,none
