Test_ID,Theta1,Theta2,Pt,type
Test_070,48.0,85.0,11487.97281164406,1
Test_071,82.0,86.0,5101.552347275622,1
Test_072,-21.0,38.0,11165.296616337586,2
Test_073,81.0,-73.0,6539.667540500992,1
Test_074,78.0,-23.0,11993.206131187177,2
Test_075,26.0,-58.0,12987.55078271545,2
Test_076,13.0,14.0,7038.776703174241,3
Test_077,-6.0,51.0,10850.911947985682,2
Test_078,73.0,-45.0,14002.885581507757,2
Test_079,0.0,1.0,5357.999595094151,3
Test_080,-42.0,-56.0,15077.2102817765,1
Test_081,-80.0,12.0,10902.263860426216,2
Test_082,23.0,-15.0,8380.744453015248,3
Test_083,9.0,25.0,8284.221624213846,3
Test_084,-58.0,-24.0,12524.514059929294,2
Test_085,-27.0,19.0,9417.827713562066,3
Test_086,-44.0,-26.0,12245.577979362271,2
Test_087,87.0,-65.0,7509.668375845864,1
Test_088,-9.0,-87.0,10756.026045521105,2
Test_089,2.0,55.0,10907.10797148394,2
Test_090,40.0,61.0,14577.36439652324,1
Test_091,50.0,-64.0,14112.500107852631,1
Test_092,-7.0,20.0,7424.514631882905,3
Test_093,85.0,-17.0,11270.386012263669,2
Test_094,18.0,-59.0,12147.505249397967,2
Test_095,-26.0,-51.0,12850.208277886262,2
Test_096,-86.0,26.0,12135.309987935554,2
Test_097,71.0,68.0,8847.458678202327,1
Test_098,-1.0,-33.0,8960.34622803767,3
Test_099,64.0,-58.0,12185.342423087131,1
Test_100,-77.0,-19.0,11634.73237786286,2
Test_101,-37.0,81.0,13440.259830333807,2
Test_102,-38.0,46.0,14808.464169917032,2
Test_103,-40.0,-10.0,9984.056261449554,2
Test_104,-31.0,10.0,8924.951540978123,2
Test_105,-65.0,-72.0,9300.117904394145,1
Test_106,-10.0,-49.0,10970.028959804838,2
Test_107,-53.0,-14.0,11260.548917996091,2
Test_108,-12.0,31.0,9314.47240294474,2
Test_109,44.0,-41.0,15345.461329662956,1
Test_110,-74.0,-31.0,12992.519840363311,2
Test_111,31.0,-77.0,13134.68778201646,2
Test_112,25.0,2.0,7655.853159340728,3
Test_113,57.0,13.0,11299.401178716862,2
Test_114,42.0,-63.0,14718.03132788154,2
Test_115,60.0,35.0,13845.624058506122,2
Test_116,29.0,-81.0,12819.278520448112,2
Test_117,54.0,80.0,10416.43156874245,1
Test_118,83.0,16.0,11130.630199581588,2
Test_119,3.0,27.0,8229.635138991727,3
Test_120,10.0,76.0,11096.785579113532,2
Test_121,-6.0,-20.0,7287.165866685997,3
Test_122,-76.0,-7.0,10743.73149639326,2
Test_123,-24.0,0.0,7458.52931859239,3
Test_124,86.0,43.0,12728.390696982447,1
Test_125,15.0,-39.0,10577.876117353371,2
Test_126,-78.0,64.0,8487.835761366545,1
Test_127,-22.0,-34.0,10927.52628130744,2
Test_128,67.0,-77.0,8128.119187890805,1
Test_129,53.0,17.0,11654.93163557366,2
Test_130,5.0,84.0,10570.530232064531,2
Test_131,-89.0,71.0,6381.471126817652,1
Test_132,51.0,58.0,13688.27163210981,1
Test_133,-72.0,-54.0,11493.780703489558,1
Test_134,-18.0,71.0,11920.14639318213,2
Test_135,75.0,-31.0,12934.614385204375,2
Test_136,-50.0,-9.0,10701.50295811096,2
Test_137,-19.0,70.0,12129.003134465362,2
Test_138,37.0,34.0,13360.216488522388,2
Test_139,48.0,-47.0,14922.387087587367,1
Test_140,-3.0,-6.0,5514.667866284061,3
Test_141,72.0,-18.0,11692.701402606215,2
Test_142,20.0,-1.0,7022.174635910891,3
Test_143,8.0,9.0,5996.678372751634,3
Test_144,27.0,-85.0,12621.114532908285,2
Test_145,-30.0,67.0,13318.42649049605,2
Test_146,-11.0,38.0,10044.703076693986,2
Test_147,-69.0,-49.0,13080.569430750582,1
Test_148,41.0,-14.0,10416.257006255146,2
Test_149,22.0,-68.0,12469.600200095849,2
Test_150,5.0,-35.0,9223.40466597226,2
Test_151,-53.0,6.0,10764.305400637104,2
Test_152,-52.0,62.0,13831.042045224638,2
Test_153,-82.0,-88.0,5030.89170977773,1
Test_154,24.0,53.0,12645.699787356223,2
Test_155,19.0,48.0,11753.875238243723,2
Test_156,74.0,-74.0,7350.553468264627,1
Test_157,-59.0,-37.0,14086.461618511676,2
Test_158,76.0,3.0,10600.91542779668,2
Test_159,-58.0,75.0,10217.688537861475,1
Test_160,27.0,5.0,8097.911412962052,3
Test_161,47.0,-42.0,15470.774564908004,1
Test_162,-4.0,55.0,10940.37483550506,3
Test_163,-78.0,84.0,5655.14745651808,1
Test_164,-8.0,62.0,11264.335175536287,2
Test_165,6.0,-37.0,9591.09529785862,2
Test_166,-22.0,23.0,9513.90070855747,3
Test_167,-71.0,-50.0,12548.3516226245,1
Test_168,-16.0,-87.0,11321.436487525823,2
Test_169,-46.0,-76.0,13088.830770176755,1
Test_170,1.0,-16.0,6623.368275009074,3
Test_171,80.0,66.0,7841.752666853357,1
Test_172,7.0,42.0,10179.167828878386,2
Test_173,68.0,90.0,6965.141531753996,1
Test_174,-69.0,28.0,12873.7624563615,2
Test_175,66.0,18.0,11826.66290829823,2
Test_176,-56.0,-10.0,11056.971762945464,2
Test_177,65.0,-4.0,10805.077744354108,2
Test_178,79.0,72.0,6917.0469749068925,1
Test_179,36.0,-84.0,13327.407453969734,2
Test_180,22.0,-27.0,10229.49842845019,3
Test_181,-47.0,5.0,10282.571907562284,2
Test_182,16.0,-60.0,11961.958739787911,2
Test_183,70.0,-63.0,10009.31213411648,1
Test_184,58.0,-22.0,12280.44258606878,2
Test_185,-4.0,7.0,5713.536491140539,3
Test_186,61.0,-55.0,13104.560355282776,1
Test_187,51.0,-25.0,12486.886264609768,2
Test_188,-30.0,-6.0,8514.804394249095,3
Test_189,-82.0,-27.0,12331.178585171674,2
Test_190,31.0,-45.0,13357.83990229845,2
Test_191,-48.0,-78.0,12252.301561049326,1
Test_192,-34.0,65.0,13848.23645599186,2
Test_193,41.0,-83.0,13421.634243512332,1
Test_194,-29.0,74.0,13034.443316581934,2
Test_195,43.0,37.0,14330.155703588423,1
Test_196,-73.0,89.0,6140.252721095002,1
Test_197,-41.0,12.0,10217.798444929478,3
Test_198,-64.0,-44.0,14730.261549896088,1
Test_199,-62.0,-53.0,13540.244058345552,1
Test_200,35.0,82.0,13304.745810560027,2
