Test_ID,Theta1,Theta2,Pt,type
Test_053,-67.0,23.0,12333.831268950556,2
Test_054,-36.0,-80.0,13328.617092441378,1
Test_055,69.0,-62.0,10398.193593331707,1
Test_056,88.0,-61.0,8241.597962877904,1
Test_057,-85.0,56.0,9449.00038741436,1
Test_058,46.0,41.0,15105.299403238689,1
Test_059,34.0,-32.0,12712.436991883658,2
Test_060,11.0,-2.0,6055.654348261841,3
Test_061,19.0,-67.0,12124.158388705611,2
Test_062,-45.0,-80.0,12713.31287515924,1
Test_063,38.0,69.0,13909.789491306496,1
Test_064,-65.0,32.0,13412.902728535026,1
Test_065,-32.0,-36.0,12914.895656601488,2
Test_066,-17.0,82.0,11514.67403215818,2
Test_067,-61.0,78.0,9127.187098616543,1
Test_068,45.0,-66.0,14877.860799627071,1
Test_069,33.0,-41.0,13575.10333156336,1
Test_070,48.0,85.0,11390.621674639136,1
Test_071,82.0,86.0,5086.42287956089,1
Test_072,-21.0,38.0,11159.085773447216,2
Test_073,81.0,-73.0,6540.124984755933,1
Test_074,78.0,-23.0,11993.269070396138,2
Test_075,26.0,-58.0,12979.680433059357,2
Test_076,13.0,14.0,7040.284627874787,3
Test_077,-6.0,51.0,10863.564882138657,2
Test_078,73.0,-45.0,14124.55736141803,1
Test_079,0.0,1.0,5357.922599392249,3
Test_080,-42.0,-56.0,14957.089996342567,1
Test_081,-80.0,12.0,10909.02609584366,2
Test_082,23.0,-15.0,8378.183673282683,3
Test_083,9.0,25.0,8284.866963501689,3
Test_084,-58.0,-24.0,12444.28362550252,2
Test_085,-27.0,19.0,9415.990995932809,2
Test_086,-44.0,-26.0,12108.86569180236,2
Test_087,87.0,-65.0,7492.790068050714,1
Test_088,-9.0,-87.0,10758.988790639956,2
Test_089,2.0,55.0,10893.270125116742,2
Test_090,40.0,61.0,14464.749288172909,1
Test_091,50.0,-64.0,14101.899112008,1
Test_092,-7.0,20.0,7426.689997912338,3
Test_093,85.0,-17.0,11263.512320652657,2
Test_094,18.0,-59.0,12146.297763811785,2
Test_095,-26.0,-51.0,12701.463905771698,2
Test_096,-86.0,26.0,12134.848233314608,2
Test_097,71.0,68.0,8771.276325748466,1
Test_098,-1.0,-33.0,8954.07697236796,3
Test_099,64.0,-58.0,12184.120669734342,1
Test_100,-77.0,-19.0,11632.676161899868,2
Test_101,-37.0,81.0,13438.53676928006,2
Test_102,-38.0,46.0,14808.199077300438,1
Test_103,-40.0,-10.0,9846.801271698148,2
Test_104,-31.0,10.0,8923.71335701435,2
Test_105,-65.0,-72.0,9221.092471044964,1
Test_106,-10.0,-49.0,10836.694527744728,2
Test_107,-53.0,-14.0,11257.314044369965,2
Test_108,-12.0,31.0,9312.226793767912,2
Test_109,44.0,-41.0,15345.401731329252,1
Test_110,-74.0,-31.0,12920.197732278406,2
Test_111,31.0,-77.0,13134.504674369342,2
Test_112,25.0,2.0,7653.038856621138,3
Test_113,57.0,13.0,11296.723119385995,2
Test_114,42.0,-63.0,14715.722536531586,1
Test_115,60.0,35.0,13744.018639460162,1
Test_116,29.0,-81.0,12818.384296661612,2
Test_117,54.0,80.0,10323.118021384727,1
Test_118,83.0,16.0,11132.021410164984,2
Test_119,3.0,27.0,8230.004364916596,3
Test_120,10.0,76.0,11094.55379392659,2
Test_121,-6.0,-20.0,7286.984194993886,3
Test_122,-76.0,-7.0,10747.277556567244,2
Test_123,-24.0,0.0,7450.23480463876,3
Test_124,86.0,43.0,12643.772682153978,1
Test_125,15.0,-39.0,10459.239205679984,2
Test_126,-78.0,64.0,8471.298922175585,1
Test_127,-22.0,-34.0,10831.47952450428,2
Test_128,67.0,-77.0,8128.156521056648,1
Test_129,53.0,17.0,11547.17098728333,2
Test_130,5.0,84.0,10574.440566256835,2
Test_131,-89.0,71.0,6366.620434886613,1
Test_132,51.0,58.0,13543.787666957249,1
Test_133,-72.0,-54.0,11394.91490000942,1
Test_134,-18.0,71.0,11921.477302795642,2
Test_135,75.0,-31.0,12937.519094723915,2
Test_136,-50.0,-9.0,10692.520916719732,2
Test_137,-19.0,70.0,12129.526778526675,2
Test_138,37.0,34.0,13216.073195365389,1
Test_139,48.0,-47.0,14922.421602800548,1
Test_140,-3.0,-6.0,5511.083803903935,3
Test_141,72.0,-18.0,11683.404535053449,2
Test_142,20.0,-1.0,7019.251630931852,3
Test_143,8.0,9.0,5994.643176049423,3
Test_144,27.0,-85.0,12537.963743135811,2
Test_145,-30.0,67.0,13324.058551729591,2
Test_146,-11.0,38.0,10037.704651520164,2
Test_147,-69.0,-49.0,12964.28529888653,1
Test_148,41.0,-14.0,10413.37845566866,2
Test_149,22.0,-68.0,12470.118056238169,2
Test_150,5.0,-35.0,9229.305966505732,2
Test_151,-53.0,6.0,10766.098721754372,2
Test_152,-52.0,62.0,13812.48164004545,1
Test_153,-82.0,-88.0,5030.143657571408,1
Test_154,24.0,53.0,12557.141976206289,2
Test_155,19.0,48.0,11654.72320541207,2
Test_156,74.0,-74.0,7350.553468264627,1
Test_157,-59.0,-37.0,14000.23444453236,1
Test_158,76.0,3.0,10607.895321097703,2
Test_159,-58.0,75.0,10198.52774217738,1
Test_160,27.0,5.0,7915.508758363104,3
Test_161,47.0,-42.0,15470.798103360798,1
Test_162,-4.0,55.0,10936.68666206909,2
Test_163,-78.0,84.0,5655.055818724016,1
Test_164,-8.0,62.0,11269.089865461308,2
Test_165,6.0,-37.0,9598.693253111334,2
Test_166,-22.0,23.0,9513.837311651518,2
Test_167,-71.0,-50.0,12440.649110362274,1
Test_168,-16.0,-87.0,11326.579075781408,2
Test_169,-46.0,-76.0,12994.343967712655,1
Test_170,1.0,-16.0,6386.517132513861,3
Test_171,80.0,66.0,7777.081126655808,1
Test_172,7.0,42.0,10045.565448893694,2
Test_173,68.0,90.0,6932.807194571555,1
Test_174,-69.0,28.0,12880.509184122304,2
Test_175,66.0,18.0,11723.841772365358,2
Test_176,-56.0,-10.0,11063.310691201626,2
Test_177,65.0,-4.0,10808.613016572035,2
Test_178,79.0,72.0,6871.073988474756,1
Test_179,36.0,-84.0,13329.64516744905,1
Test_180,22.0,-27.0,10233.43773251763,2
Test_181,-47.0,5.0,10282.293621031997,2
Test_182,16.0,-60.0,11856.209456945178,2
Test_183,70.0,-63.0,10009.430249974312,1
Test_184,58.0,-22.0,12281.280897240413,2
Test_185,-4.0,7.0,5713.023503734832,3
Test_186,61.0,-55.0,13106.419137843764,1
Test_187,51.0,-25.0,12479.808226621411,2
Test_188,-30.0,-6.0,8511.437687574404,3
Test_189,-82.0,-27.0,12329.474428414554,2
Test_190,31.0,-45.0,13356.430082853198,1
Test_191,-48.0,-78.0,12128.39823447727,1
Test_192,-34.0,65.0,13788.629569607529,1
Test_193,41.0,-83.0,13329.543843673988,1
Test_194,-29.0,74.0,13037.617786195782,1
Test_195,43.0,37.0,14179.720775686805,1
Test_196,-73.0,89.0,6124.676297819709,1
Test_197,-41.0,12.0,10227.509870764963,2
Test_198,-64.0,-44.0,14604.682330826028,1
Test_199,-62.0,-53.0,13399.517584569889,1
Test_200,35.0,82.0,13238.377906591237,1
