filename,case,test_id,theta1,theta2,pt,type,source_csv
Case3_type2_force_disp_Test_019.csv,Case3,Test_019,-28,-86,12696.70376,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_019.csv
Case3_type2_force_disp_Test_020.csv,Case3,Test_020,-15,-39,10465.36293,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_020.csv
Case3_type2_force_disp_Test_021.csv,Case3,Test_021,-2,-69,10946.16144,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_021.csv
Case3_type2_force_disp_Test_022.csv,Case3,Test_022,-19,-70,12126.16219,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_022.csv
Case3_type2_force_disp_Test_023.csv,Case3,Test_023,-49,30,13141.53435,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_023.csv
Case3_type2_force_disp_Test_024.csv,Case3,Test_024,59,-11,11242.04177,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_024.csv
Case3_type2_force_disp_Test_025.csv,Case3,Test_025,-11,53,11303.27864,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_025.csv
Case3_type1_force_disp_Test_026.csv,Case3,Test_026,-56,40,14645.64885,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_026.csv
Case3_type2_force_disp_Test_027.csv,Case3,Test_027,62,-28,13035.03777,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_027.csv
Case3_type2_force_disp_Test_028.csv,Case3,Test_028,-60,15,11649.31619,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_028.csv
Case3_type2_force_disp_Test_029.csv,Case3,Test_029,-86,4,10320.77576,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_029.csv
Case3_type2_force_disp_Test_030.csv,Case3,Test_030,-45,-21,11546.71001,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_030.csv
Case3_type1_force_disp_Test_031.csv,Case3,Test_031,39,-42,15017.77501,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_031.csv
Case3_type2_force_disp_Test_032.csv,Case3,Test_032,-68,32,13277.32875,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_032.csv
Case3_type2_force_disp_Test_033.csv,Case3,Test_033,30,-72,13215.35481,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_033.csv
Case3_type1_force_disp_Test_034.csv,Case3,Test_034,65,-56,12354.30193,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_034.csv
Case3_type1_force_disp_Test_035.csv,Case3,Test_035,62,45,14991.90209,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_035.csv
Case3_type1_force_disp_Test_036.csv,Case3,Test_036,-51,58,13740.0927,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_036.csv
Case3_type1_force_disp_Test_037.csv,Case3,Test_037,82,-75,6153.885586,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_037.csv
Case3_type1_force_disp_Test_038.csv,Case3,Test_038,-37,59,14336.83833,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_038.csv
Case3_type2_force_disp_Test_039.csv,Case3,Test_039,-35,-29,12075.4755,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_039.csv
Case3_type2_force_disp_Test_040.csv,Case3,Test_040,84,24,11962.43589,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_040.csv
Case3_type2_force_disp_Test_041.csv,Case3,Test_041,12,88,10994.10852,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_041.csv
Case3_type2_force_disp_Test_042.csv,Case3,Test_042,-80,36,13227.69513,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_042.csv
Case3_type1_force_disp_Test_043.csv,Case3,Test_043,90,52,10254.88517,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_043.csv
Case3_type2_force_disp_Test_044.csv,Case3,Test_044,-83,8,10548.58696,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_044.csv
Case3_type2_force_disp_Test_045.csv,Case3,Test_045,77,-20,11758.3743,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_045.csv
Case3_type1_force_disp_Test_046.csv,Case3,Test_046,56,-82,9755.358692,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_046.csv
Case3_type2_force_disp_Test_047.csv,Case3,Test_047,-33,64,13728.30613,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_047.csv
Case3_type3_force_disp_Test_048.csv,Case3,Test_048,-23,-2,7396.391576,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_048.csv
Case3_type2_force_disp_Test_049.csv,Case3,Test_049,4,78,10746.04957,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_049.csv
Case3_type2_force_disp_Test_050.csv,Case3,Test_050,-13,60,11613.94785,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_050.csv
Case3_type2_force_disp_Test_051.csv,Case3,Test_051,-54,22,12202.18826,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_051.csv
Case3_type3_force_disp_Test_052.csv,Case3,Test_052,14,-3,6306.63838,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_052.csv
Case3_type2_force_disp_Test_053.csv,Case3,Test_053,-67,23,12333.05239,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_053.csv
Case3_type2_force_disp_Test_054.csv,Case3,Test_054,-36,-80,13387.54011,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_054.csv
Case3_type1_force_disp_Test_055.csv,Case3,Test_055,69,-62,10398.02074,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_055.csv
Case3_type1_force_disp_Test_056.csv,Case3,Test_056,88,-61,8280.197979,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_056.csv
Case3_type1_force_disp_Test_057.csv,Case3,Test_057,-85,56,9493.64421,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_057.csv
Case3_type1_force_disp_Test_058.csv,Case3,Test_058,46,41,15249.06293,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_058.csv
Case3_type2_force_disp_Test_059.csv,Case3,Test_059,34,-32,12712.56654,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_059.csv
Case3_type3_force_disp_Test_060.csv,Case3,Test_060,11,-2,6059.582829,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_060.csv
Case3_type2_force_disp_Test_061.csv,Case3,Test_061,19,-67,12225.48574,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_061.csv
Case3_type1_force_disp_Test_062.csv,Case3,Test_062,-45,-80,12860.83607,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_062.csv
Case3_type2_force_disp_Test_063.csv,Case3,Test_063,38,69,14003.82103,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_063.csv
Case3_type2_force_disp_Test_064.csv,Case3,Test_064,-65,32,13414.89323,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_064.csv
Case3_type2_force_disp_Test_065.csv,Case3,Test_065,-32,-36,13023.78831,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_065.csv
Case3_type2_force_disp_Test_066.csv,Case3,Test_066,-17,82,11521.58852,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_066.csv
Case3_type1_force_disp_Test_067.csv,Case3,Test_067,-61,78,9145.109172,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_067.csv
Case3_type1_force_disp_Test_068.csv,Case3,Test_068,45,-66,14878.35577,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_068.csv
Case3_type2_force_disp_Test_069.csv,Case3,Test_069,33,-41,13575.42087,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_069.csv
Case3_type1_force_disp_Test_070.csv,Case3,Test_070,48,85,11487.97281,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_070.csv
Case3_type1_force_disp_Test_071.csv,Case3,Test_071,82,86,5101.552347,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_071.csv
Case3_type2_force_disp_Test_072.csv,Case3,Test_072,-21,38,11165.29662,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_072.csv
Case3_type1_force_disp_Test_073.csv,Case3,Test_073,81,-73,6539.667541,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_073.csv
Case3_type2_force_disp_Test_074.csv,Case3,Test_074,78,-23,11993.20613,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_074.csv
Case3_type2_force_disp_Test_075.csv,Case3,Test_075,26,-58,12987.55078,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_075.csv
Case3_type3_force_disp_Test_076.csv,Case3,Test_076,13,14,7038.776703,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_076.csv
Case3_type2_force_disp_Test_077.csv,Case3,Test_077,-6,51,10850.91195,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_077.csv
Case3_type2_force_disp_Test_078.csv,Case3,Test_078,73,-45,14002.88558,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_078.csv
Case3_type3_force_disp_Test_079.csv,Case3,Test_079,0,1,5357.999595,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_079.csv
Case3_type1_force_disp_Test_080.csv,Case3,Test_080,-42,-56,15077.21028,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_080.csv
Case3_type2_force_disp_Test_081.csv,Case3,Test_081,-80,12,10902.26386,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_081.csv
Case3_type3_force_disp_Test_082.csv,Case3,Test_082,23,-15,8380.744453,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_082.csv
Case3_type3_force_disp_Test_083.csv,Case3,Test_083,9,25,8284.221624,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_083.csv
Case3_type2_force_disp_Test_084.csv,Case3,Test_084,-58,-24,12524.51406,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_084.csv
Case3_type2_force_disp_Test_085.csv,Case3,Test_085,-27,19,9417.827714,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_085.csv
Case3_type2_force_disp_Test_086.csv,Case3,Test_086,-44,-26,12245.57798,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_086.csv
Case3_type1_force_disp_Test_087.csv,Case3,Test_087,87,-65,7509.668376,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_087.csv
Case3_type2_force_disp_Test_088.csv,Case3,Test_088,-9,-87,10756.02605,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_088.csv
Case3_type2_force_disp_Test_089.csv,Case3,Test_089,2,55,10907.10797,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_089.csv
Case3_type1_force_disp_Test_090.csv,Case3,Test_090,40,61,14577.3644,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_090.csv
Case3_type1_force_disp_Test_091.csv,Case3,Test_091,50,-64,14112.50011,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_091.csv
Case3_type3_force_disp_Test_092.csv,Case3,Test_092,-7,20,7424.514632,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_092.csv
Case3_type2_force_disp_Test_093.csv,Case3,Test_093,85,-17,11270.38601,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_093.csv
Case3_type2_force_disp_Test_094.csv,Case3,Test_094,18,-59,12147.50525,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_094.csv
Case3_type2_force_disp_Test_095.csv,Case3,Test_095,-26,-51,12850.20828,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_095.csv
Case3_type2_force_disp_Test_096.csv,Case3,Test_096,-86,26,12135.30999,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_096.csv
Case3_type1_force_disp_Test_097.csv,Case3,Test_097,71,68,8847.458678,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_097.csv
Case3_type3_force_disp_Test_098.csv,Case3,Test_098,-1,-33,8960.346228,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_098.csv
Case3_type1_force_disp_Test_099.csv,Case3,Test_099,64,-58,12185.34242,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_099.csv
Case3_type2_force_disp_Test_100.csv,Case3,Test_100,-77,-19,11634.73238,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_100.csv
Case3_type2_force_disp_Test_101.csv,Case3,Test_101,-37,81,13440.25983,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_101.csv
Case3_type2_force_disp_Test_102.csv,Case3,Test_102,-38,46,14808.46417,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_102.csv
Case3_type2_force_disp_Test_103.csv,Case3,Test_103,-40,-10,9984.056261,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_103.csv
Case3_type2_force_disp_Test_104.csv,Case3,Test_104,-31,10,8924.951541,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_104.csv
Case3_type1_force_disp_Test_105.csv,Case3,Test_105,-65,-72,9300.117904,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_105.csv
Case3_type2_force_disp_Test_106.csv,Case3,Test_106,-10,-49,10970.02896,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_106.csv
Case3_type2_force_disp_Test_107.csv,Case3,Test_107,-53,-14,11260.54892,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_107.csv
Case3_type2_force_disp_Test_108.csv,Case3,Test_108,-12,31,9314.472403,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_108.csv
Case3_type1_force_disp_Test_109.csv,Case3,Test_109,44,-41,15345.46133,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_109.csv
Case3_type2_force_disp_Test_110.csv,Case3,Test_110,-74,-31,12992.51984,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_110.csv
Case3_type2_force_disp_Test_111.csv,Case3,Test_111,31,-77,13134.68778,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_111.csv
Case3_type3_force_disp_Test_112.csv,Case3,Test_112,25,2,7655.853159,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_112.csv
Case3_type2_force_disp_Test_113.csv,Case3,Test_113,57,13,11299.40118,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_113.csv
Case3_type2_force_disp_Test_114.csv,Case3,Test_114,42,-63,14718.03133,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_114.csv
Case3_type2_force_disp_Test_115.csv,Case3,Test_115,60,35,13845.62406,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_115.csv
Case3_type2_force_disp_Test_116.csv,Case3,Test_116,29,-81,12819.27852,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_116.csv
Case3_type1_force_disp_Test_117.csv,Case3,Test_117,54,80,10416.43157,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_117.csv
Case3_type2_force_disp_Test_118.csv,Case3,Test_118,83,16,11130.6302,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_118.csv
Case3_type3_force_disp_Test_119.csv,Case3,Test_119,3,27,8229.635139,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_119.csv
Case3_type2_force_disp_Test_120.csv,Case3,Test_120,10,76,11096.78558,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_120.csv
Case3_type3_force_disp_Test_121.csv,Case3,Test_121,-6,-20,7287.165867,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_121.csv
Case3_type2_force_disp_Test_122.csv,Case3,Test_122,-76,-7,10743.7315,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_122.csv
Case3_type3_force_disp_Test_123.csv,Case3,Test_123,-24,0,7458.529319,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_123.csv
Case3_type1_force_disp_Test_124.csv,Case3,Test_124,86,43,12728.3907,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_124.csv
Case3_type2_force_disp_Test_125.csv,Case3,Test_125,15,-39,10577.87612,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_125.csv
Case3_type1_force_disp_Test_126.csv,Case3,Test_126,-78,64,8487.835761,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_126.csv
Case3_type2_force_disp_Test_127.csv,Case3,Test_127,-22,-34,10927.52628,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_127.csv
Case3_type1_force_disp_Test_128.csv,Case3,Test_128,67,-77,8128.119188,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_128.csv
Case3_type2_force_disp_Test_129.csv,Case3,Test_129,53,17,11654.93164,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_129.csv
Case3_type2_force_disp_Test_130.csv,Case3,Test_130,5,84,10570.53023,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_130.csv
Case3_type1_force_disp_Test_131.csv,Case3,Test_131,-89,71,6381.471127,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_131.csv
Case3_type1_force_disp_Test_132.csv,Case3,Test_132,51,58,13688.27163,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_132.csv
Case3_type1_force_disp_Test_133.csv,Case3,Test_133,-72,-54,11493.7807,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_133.csv
Case3_type2_force_disp_Test_134.csv,Case3,Test_134,-18,71,11920.14639,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_134.csv
Case3_type2_force_disp_Test_135.csv,Case3,Test_135,75,-31,12934.61439,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_135.csv
Case3_type2_force_disp_Test_136.csv,Case3,Test_136,-50,-9,10701.50296,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_136.csv
Case3_type2_force_disp_Test_137.csv,Case3,Test_137,-19,70,12129.00313,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_137.csv
Case3_type2_force_disp_Test_138.csv,Case3,Test_138,37,34,13360.21649,2,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_138.csv
Case3_type1_force_disp_Test_139.csv,Case3,Test_139,48,-47,14922.38709,1,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_139.csv
Case3_type3_force_disp_Test_140.csv,Case3,Test_140,-3,-6,5514.667866,3,/Users/danlee/KyulAI_codex/data/datasets/DD_curated_csv_v1/Case3/csv_load/force_disp_Test_140.csv
