Test_ID,Global_Test_ID,Theta1,Theta2,Pt,type,original_type,model_predicted_type,model_confidence,p_type1,p_type2,p_type3,confidence,data_quality,review_note
Test_021,Test_271,-36,-11,9614.09144478225,2,2,2,0.999999,0.000000,0.999999,0.000000,high,ok,accepted_original_label
Test_022,Test_272,-65,36,13812.089506958,2,1,2,0.999999,0.000000,0.999999,0.000000,model_high,ok,reclassified_by_current_csv_model
Test_023,Test_273,-21,30,10379.9999350059,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_024,Test_274,34,-29,12018.0540659461,2,2,2,0.999999,0.000000,0.999999,0.000000,high,ok,accepted_original_label
Test_025,Test_275,-32,-82,13082.1574507343,2,2,2,0.999998,0.000001,0.999998,0.000000,high,ok,accepted_original_label
Test_026,Test_276,-55,-10,11068.8982357084,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_027,Test_277,41,-54,15076.9105785936,1,1,1,0.999939,0.999939,0.000035,0.000026,high,ok,accepted_original_label
Test_028,Test_278,-58,-31,13398.269507876,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_029,Test_279,51,-22,12131.8579464691,2,2,2,0.999997,0.000002,0.999997,0.000001,high,ok,accepted_original_label
Test_030,Test_280,55,-15,11442.8501429008,2,2,2,0.999998,0.000001,0.999998,0.000001,high,ok,accepted_original_label
Test_031,Test_281,-76,-89,5726.00253590003,1,1,1,0.999994,0.999994,0.000005,0.000002,high,ok,accepted_original_label
Test_032,Test_282,32,8,8891.96813090958,2,2,2,0.999998,0.000001,0.999998,0.000001,high,ok,accepted_original_label
Test_033,Test_283,13,90,10953.7981202937,2,2,2,0.999993,0.000005,0.999993,0.000002,high,ok,accepted_original_label
Test_034,Test_284,26,-2,7864.59397163862,3,3,3,0.999977,0.000002,0.000021,0.999977,high,ok,accepted_original_label
Test_035,Test_285,6,16,6711.84767085781,3,3,3,0.999977,0.000002,0.000021,0.999977,high,ok,accepted_original_label
Test_036,Test_286,43,52,15525.674342884,1,1,1,0.999973,0.999973,0.000016,0.000011,high,ok,accepted_original_label
Test_037,Test_287,20,24,9444.09385930497,2,2,2,0.999996,0.000002,0.999996,0.000002,high,ok,accepted_original_label
Test_038,Test_288,75,52,11544.7314015205,1,1,1,0.999999,0.999999,0.000000,0.000000,high,ok,accepted_original_label
Test_039,Test_289,13,-85,11066.8441687687,2,2,2,0.999999,0.000001,0.999999,0.000000,high,ok,accepted_original_label
Test_040,Test_290,35,27,11709.8618596998,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_041,Test_291,-52,-35,13944.8454930924,2,1,2,0.999974,0.000026,0.999974,0.000001,model_high,ok,reclassified_by_current_csv_model
Test_042,Test_292,-54,-72,11580.6606598891,1,1,1,0.999994,0.999994,0.000005,0.000001,high,ok,accepted_original_label
Test_043,Test_293,-58,-40,14531.1701397919,2,1,2,0.998581,0.001418,0.998581,0.000001,model_high,ok,reclassified_by_current_csv_model
Test_044,Test_294,-52,-80,10915.09564881,1,1,1,0.999978,0.999978,0.000018,0.000004,high,ok,accepted_original_label
Test_045,Test_295,34,-45,13943.52803784,2,1,2,0.999756,0.000244,0.999756,0.000001,model_high,ok,reclassified_by_current_csv_model
Test_046,Test_296,-5,5,5506.61260131286,3,3,3,0.999977,0.000002,0.000021,0.999977,needs_review,short_curve,accepted_original_label
Test_047,Test_297,-58,2,10810.0291492321,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
Test_048,Test_298,25,-82,12420.5839448277,2,2,2,0.999999,0.000001,0.999999,0.000000,high,ok,accepted_original_label
Test_049,Test_299,-30,-10,8802.60594255605,3,3,3,0.999931,0.000002,0.000068,0.999931,high,ok,accepted_original_label
Test_050,Test_300,-73,-18,11712.978120585,2,2,2,1.000000,0.000000,1.000000,0.000000,high,ok,accepted_original_label
